Latitude,Longitude,Subbasin,GL Type,Area (ha),Elevation (m)
36.879,73.704,Gilgit,O,262.57,"4,286"
36.644,73.646,Gilgit,O,105.07,"3,821"
35.994,72.613,Gilgit,O,201.58,"3,622"
35.944,72.595,Gilgit,O,96.35,"3,761"
35.949,73.289,Gilgit,E(o),54.23,"4,228"
35.945,73.365,Gilgit,E(c),67.34,"4,162"
35.865,73.746,Gilgit,E(o),84.31,"4,140"
34.829,74.062,Jhelum,E(c),93.9,"3,681"
34.92,74.521,Jhelum,M(e),60.6,"4,041"
34.845,74.809,Indus Middle,E(c),50.44,"3,992"
34.432,74.924,Jhelum,E(c),161.04,"3,571"
33.519,74.584,Jhelum,E(o),70.83,"3,934"
33.512,74.769,Jhelum,O,128.54,"3,486"
34.991,75.236,Indus Upper,O,129.62,"4,138"
34.697,75.137,Jhelum,E(o),64.95,"4,103"
34.666,75.179,Jhelum,E(o),74.54,"4,234"
34.14,75.148,Jhelum,E(c),82.93,"3,780"
34.094,75.498,Jhelum,O,52.27,"3,575"
33.159,76.984,Indus Upper,M(e),59.78,"4,479"
32.526,77.22,Chenab,M(e),77.59,"4,069"
32.499,77.547,Chenab,M(e),128.69,"4,150"
34.457,78.136,Shyok,M(o),95.68,"5,295"
34.233,78.426,Shyok,O,64.78,"5,350"
34.151,78.553,Shyok,E(o),65.02,"5,566"
33.455,78.498,Shyok,O,147.89,"5,308"
33.427,78.488,Shyok,O,177.73,"5,284"
34.316,80.858,Shyok,I(d),232.34,"5,709"
32.423,80.865,Indus Upper,O,58.84,"4,452"
34.299,81.202,Shyok,O,61.15,"5,274"
34.341,81.257,Shyok,E(o),51.89,"5,298"
31.182,81.195,Satluj,E(o),52.48,"5,413"
31.274,81.595,Indus Upper,O,156.89,"5,229"
30.431,81.433,Satluj,E(o),192.62,"5,484"
30.385,81.93,Satluj,M(e),59.79,"5,224"
30.129,81.781,Humla,M(e),75.65,"5,015"
30.067,82.127,Humla,M(l),62.33,"4,829"
28.691,83.852,Marsyangdi,M(o),340.21,"4,910"
28.488,84.486,Marsyangdi,M(e),89.44,"4,038"
28.644,85.491,Bum Chu,M(e),50.98,"4,985"
28.623,85.51,Bum Chu,M(e),118.78,"5,127"
28.616,85.527,Bum Chu,M(e),103.58,"5,113"
28.562,85.602,Bum Chu,M(e),129.19,"5,361"
28.532,85.609,Bum Chu,M(e),540.55,"5,352"
28.494,85.636,Bum Chu,M(e),490.68,"5,278"
28.485,85.736,Bum Chu,M(e),51.99,"5,335"
