Latitude,Longitude,Subbasin,GL Type,Area (ha),Elevation (m),Area_ha
36.879,73.704,Gilgit,O,262.57,"4,286",116.22207702418955
36.644,73.646,Gilgit,O,105.07,"3,821",104.83407472474235
35.994,72.613,Gilgit,O,201.58,"3,622",168.9923411192452
35.944,72.595,Gilgit,O,96.35,"3,761",93.05550392466984
35.949,73.289,Gilgit,E(o),54.23,"4,228",14.610360437792332
35.945,73.365,Gilgit,E(c),67.34,"4,162",6.399751883682153
35.865,73.746,Gilgit,E(o),84.31,"4,140",34.996288051797784
34.829,74.062,Jhelum,E(c),93.9,"3,681",68.03572369422598
34.92,74.521,Jhelum,M(e),60.6,"4,041",67.15168608321676
34.845,74.809,Indus Middle,E(c),50.44,"3,992",39.94437688327131
34.432,74.924,Jhelum,E(c),161.04,"3,571",105.98834543279419
33.519,74.584,Jhelum,E(o),70.83,"3,934",57.721478640436544
33.512,74.769,Jhelum,O,128.54,"3,486",120.16876456394915
34.991,75.236,Indus Upper,O,129.62,"4,138",116.30956350695581
34.697,75.137,Jhelum,E(o),64.95,"4,103",56.62822990038409
34.666,75.179,Jhelum,E(o),74.54,"4,234",62.18827851020292
34.14,75.148,Jhelum,E(c),82.93,"3,780",71.7972850952386
34.094,75.498,Jhelum,O,52.27,"3,575",52.05526308018788
33.159,76.984,Indus Upper,M(e),59.78,"4,479",58.26219066883763
32.526,77.22,Chenab,M(e),77.59,"4,069",62.08557933017067
32.499,77.547,Chenab,M(e),128.69,"4,150",127.31332831027173
34.457,78.136,Shyok,M(o),95.68,"5,295",74.19181623858707
34.233,78.426,Shyok,O,64.78,"5,350",34.819568575898806
34.151,78.553,Shyok,E(o),65.02,"5,566",41.39310303800437
33.455,78.498,Shyok,O,147.89,"5,308",159.1827927746915
33.427,78.488,Shyok,O,177.73,"5,284",159.1827927746915
34.316,80.858,Shyok,I(d),232.34,"5,709",69.10905789732888
32.423,80.865,Indus Upper,O,58.84,"4,452",45.25296861089092
34.299,81.202,Shyok,O,61.15,"5,274",56.750787499538866
34.341,81.257,Shyok,E(o),51.89,"5,298",37.74065002704685
31.182,81.195,Satluj,E(o),52.48,"5,413",45.48065319808366
31.274,81.595,Indus Upper,O,156.89,"5,229",143.3700435264309
30.431,81.433,Satluj,E(o),192.62,"5,484",189.39045555423738
30.385,81.93,Satluj,M(e),59.79,"5,224",44.086422387647765
30.129,81.781,Humla,M(e),75.65,"5,015",31.299259502336824
30.067,82.127,Humla,M(l),62.33,"4,829",84.68908259966828
28.691,83.852,Marsyangdi,M(o),340.21,"4,910",119.88924333896453
28.488,84.486,Marsyangdi,M(e),89.44,"4,038",86.18643351590009
28.644,85.491,Bum Chu,M(e),50.98,"4,985",121.23188151134667
28.623,85.51,Bum Chu,M(e),118.78,"5,127",121.23188151134667
28.616,85.527,Bum Chu,M(e),103.58,"5,113",121.23188151134667
28.562,85.602,Bum Chu,M(e),129.19,"5,361",521.0068260373802
28.532,85.609,Bum Chu,M(e),540.55,"5,352",521.0068260373802
28.494,85.636,Bum Chu,M(e),490.68,"5,278",355.9168758179436
28.485,85.736,Bum Chu,M(e),51.99,"5,335",42.937065889445286
28.36,85.871,Sun Kosi,M(e),463.78,"5,212",312.21084151998474
28.329,85.869,Sun Kosi,M(o),213.52,"5,167",451.13909357203926
28.322,85.838,Sun Kosi,M(e),540.35,"5,067",451.13909357203926
28.211,85.847,Sun Kosi,M(e),61.34,"4,374",47.79583563355261
28.347,86.225,Sun Kosi,M(e),55.9,"5,348",74.39275599972986
28.335,86.192,Sun Kosi,M(e),55.0,"5,422",54.142158394609226
28.303,86.157,Sun Kosi,M(e),59.05,"5,307",66.34233189625779
28.374,86.305,Bum Chu,M(e),391.5,"5,346",320.300297729059
28.199,86.582,Bum Chu,M(e),134.64,"5,094",113.88446240935721
28.033,86.5,Tama Kosi,M(e),60.86,"5,057",68.18474957843544
28.887,86.514,Bum Chu,E(o),98.23,"5,098",75.87372247696494
28.185,86.532,Tama Kosi,M(e),67.68,"5,025",62.370836998835244
28.135,86.531,Tama Kosi,M(e),97.85,"4,984",84.74630282916316
28.044,86.514,Tama Kosi,M(l),57.94,"5,241",68.18474957843544
28.208,87.101,Arun Kosi,E(o),101.93,"4,852",94.56562747439986
28.205,87.052,Arun Kosi,O,65.11,"4,980",58.639240127707225
28.152,87.158,Arun Kosi,O,94.74,"5,141",85.9849149209145
28.068,87.047,Arun Kosi,M(e),78.93,"5,589",79.79222112276007
28.393,86.379,Bum Chu,M(e),100.11,"5,482",112.33454138622635
28.213,87.47,Arun Kosi,O,131.39,"4,781",132.4640604568113
28.858,86.519,Bum Chu,E(o),81.24,"5,254",270.3792942167397
28.832,86.522,Bum Chu,E(o),281.32,"5,319",270.3792942167397
28.694,87.534,Bum Chu,E(o),60.74,"5,158",41.433750860629736
28.23,87.591,Arun Kosi,M(e),78.9,"5,410",93.5345293347292
28.178,87.563,Arun Kosi,M(e),104.19,"5,011",205.7159257801756
28.114,87.655,Arun Kosi,M(e),146.34,"4,954",134.1709380491221
28.093,87.637,Arun Kosi,M(e),72.47,"5,178",183.16612302832732
27.947,86.446,Tama Kosi,M(e),156.76,"5,046",223.3167724660223
27.861,86.476,Tama Kosi,M(e),158.4,"4,550",154.0959058209709
27.975,86.681,Dudh Kosi,M(l),57.83,"4,834",57.496812101019046
27.779,86.612,Dudh Kosi,M(e),117.31,"4,831",110.75290315115473
27.924,86.786,Dudh Kosi,M(l),54.85,"4,512",52.20824710749899
27.898,86.925,Dudh Kosi,M(e),139.77,"5,003",196.84984116157503
27.783,86.957,Dudh Kosi,M(e),87.28,"5,198",287.51351449264115
27.755,86.958,Dudh Kosi,M(o),86.5,"4,927",200.6020891693581
27.798,87.092,Arun Kosi,M(e),182.16,"4,543",302.7747340007397
27.952,87.908,Yeru Chu,M(e),64.79,"5,165",96.80718061999929
27.95,87.93,Yeru Chu,M(e),83.66,"5,106",116.40722306587303
27.928,88.002,Yeru Chu,M(e),113.22,"5,348",98.77850995651961
27.926,87.771,Arun Kosi,M(e),97.66,"4,913",98.06706682166418
27.869,87.866,Tamur Kosi,M(e),68.12,"4,910",99.60376380923178
28.054,88.427,Yeru Chu,O,101.66,"4,888",75.76076763863082
28.022,88.355,Yeru Chu,M(e),56.29,"5,195",37.659880052883565
28.017,88.288,Yeru Chu,M(e),50.43,"5,268",61.68074723879975
28.009,88.259,Yeru Chu,M(e),59.7,"5,256",61.68074723879868
27.946,88.075,Yeru Chu,M(e),148.59,"5,488",126.92330340919851
27.933,88.066,Yeru Chu,M(e),83.35,"5,563",126.92330340920125
30.468,82.06,Upper Yarlung Tsangpo,O,378.8,"5,180",370.3516616911977
30.398,82.192,Upper Yarlung Tsangpo,E(o),86.53,"5,203",82.17957878170162
30.362,82.055,Upper Yarlung Tsangpo,M(e),56.83,"5,283",47.581930571837546
30.255,82.209,Upper Yarlung Tsangpo,M(e),128.7,"5,057",81.21169603865144
30.432,82.362,Upper Yarlung Tsangpo,O,152.61,"4,882",149.3581604545215
30.419,82.302,Upper Yarlung Tsangpo,O,901.4,"4,931",899.0540817198906
30.342,82.271,Upper Yarlung Tsangpo,O,69.03,"4,993",67.42418297242472
30.329,82.27,Upper Yarlung Tsangpo,O,58.67,"4,990",67.42418297242472
