S.No.,Latitude,Longitude,Subbasin,GL type,Area(ha),Elev(m)
1,36.412,72.901,Gilgit,M(e),11.23,"4,256"
2,36.263,73.048,Gilgit,O,21.68,"4,618"
3,36.642,73.407,Gilgit,M(e),14.06,"2,748"
4,36.131,73.384,Gilgit,E(o),23.35,"4,503"
5,36.116,73.423,Gilgit,E(o),21.76,"4,437"
6,36.112,73.449,Gilgit,E(o),11.22,"4,427"
7,36.108,73.465,Gilgit,E(o),21.58,"4,488"
8,36.086,73.461,Gilgit,E(o),13.98,"4,577"
9,36.024,73.328,Gilgit,E(o),10.65,"4,559"
10,36,73.312,Gilgit,E(o),13.08,"4,615"
11,36.879,73.704,Gilgit,O,262.57,"4,286"
12,36.644,73.646,Gilgit,O,105.07,"3,821"
13,36.431,73.566,Gilgit,E(o),12.25,"4,030"
14,36.351,73.514,Gilgit,E(o),17.25,"4,420"
15,36.154,73.616,Gilgit,E(o),13.83,"4,545"
16,36.145,73.639,Gilgit,E(o),17.96,"4,484"
17,36.129,73.505,Gilgit,E(o),23.11,"4,482"
18,36.096,73.668,Gilgit,E(c),10.48,"4,423"
19,36.08,73.646,Gilgit,O,28.87,"4,344"
20,36.039,73.592,Gilgit,E(o),18.87,"4,274"
21,36.03,73.714,Gilgit,E(o),10.47,"4,320"
22,36.011,73.558,Gilgit,E(o),24.48,"4,232"
23,36.265,73.955,Gilgit,O,27.89,"3,706"
24,36.239,74.084,Gilgit,E(o),20.57,"3,453"
25,36.137,75.136,Gilgit,I(s),24.88,"3,697"
26,36.126,75.14,Gilgit,I(s),12.99,"3,725"
27,36.44,75.686,Gilgit,E(o),28.09,"4,709"
28,35.994,72.613,Gilgit,O,201.58,"3,622"
29,35.944,72.595,Gilgit,O,96.35,"3,761"
30,35.869,72.94,Gilgit,E(o),20.01,"4,378"
31,35.855,72.98,Gilgit,E(v),13.35,"4,325"
32,35.92,73.064,Gilgit,O,21.34,"4,303"
33,35.906,73.155,Gilgit,E(o),24.24,"4,328"
34,35.871,73.073,Gilgit,E(o),15.95,"4,617"
35,35.829,73.228,Indus Middle,E(o),12.38,"4,195"
36,35.825,73.211,Indus Middle,E(c),26.44,"4,271"
37,35.73,73.216,Indus Middle,E(o),26.36,"3,970"
38,35.987,73.313,Gilgit,E(o),10.23,"4,583"
39,35.962,73.397,Gilgit,E(o),18.84,"4,349"
40,35.949,73.289,Gilgit,E(o),54.23,"4,228"
41,35.945,73.365,Gilgit,E(c),67.34,"4,162"
42,35.936,73.269,Indus Middle,E(o),11.45,"4,362"
43,35.925,73.274,Indus Middle,E(o),11.46,"4,227"
44,35.925,73.342,Indus Middle,E(o),11.69,"4,396"
45,35.918,73.371,Gilgit,E(o),12.25,"4,502"
46,35.817,73.297,Indus Middle,O,15.36,"2,981"
47,35.739,73.256,Indus Middle,E(c),18.92,"4,016"
48,35.675,73.344,Indus Middle,E(c),25.12,"3,428"
49,35.652,73.357,Indus Middle,E(o),19.01,"3,735"
50,35.643,73.352,Indus Middle,E(o),13.95,"3,747"
51,35.904,73.568,Gilgit,E(o),18.03,"4,109"
52,35.889,73.692,Gilgit,E(o),11.02,"3,995"
53,35.88,73.577,Gilgit,E(c),30.86,"4,059"
54,35.877,73.615,Gilgit,E(o),14.58,"3,993"
55,35.865,73.746,Gilgit,E(o),84.31,"4,140"
56,35.783,73.507,Indus Middle,E(o),12.26,"3,918"
57,35.782,73.572,Indus Middle,E(o),22.07,"4,082"
58,35.972,73.911,Gilgit,E(c),29.25,"4,426"
59,35.939,73.985,Gilgit,E(o),19.57,"4,258"
60,35.917,73.945,Gilgit,E(o),12.08,"4,178"
61,35.916,73.992,Gilgit,E(o),11.42,"4,312"
62,35.906,73.922,Gilgit,E(o),15.98,"4,223"
63,35.882,73.763,Gilgit,E(o),40.94,"4,104"
64,35.868,73.929,Gilgit,E(o),17.55,"4,064"
65,35.858,73.869,Gilgit,E(o),15.26,"4,211"
66,35.856,73.775,Indus Middle,E(o),28.28,"3,962"
67,35.852,73.877,Gilgit,E(o),19.43,"4,166"
68,35.247,73.799,Indus Middle,E(o),17.06,"3,988"
69,35.184,73.958,Indus Middle,E(o),10.49,"4,120"
70,34.83,73.985,Jhelum,E(o),20.67,"3,873"
71,35.962,74.019,Gilgit,E(o),15.37,"4,285"
72,35.817,74.083,Gilgit,E(c),16.71,"4,269"
73,35.779,74.205,Gilgit,E(o),12.36,"4,304"
74,35.773,74.196,Gilgit,E(c),11.01,"4,368"
75,35.707,74.243,Indus Middle,E(o),15.89,"4,318"
76,35.686,74.23,Indus Middle,E(o),14.12,"4,336"
77,35.073,74.177,Jhelum,E(c),11.97,"4,042"
78,35.821,74.294,Gilgit,E(c),12.04,"4,313"
79,35.722,74.256,Indus Middle,E(o),10.77,"4,254"
