Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial
water pocket,74.609,42.522,1984,,3466,1,other,0
ice,79.846,42.207,1984,,3269,1,ice,0
ice,77.193,35.677,1984,,4779,1,ice,0
water pocket,83.967,29.307,1985,,4594,1,other,0
water pocket,74.633,36.039,1985,,3301,1,other,0
moraine,76.867,41.975,1985,,3627,1,moraine,0
moraine,86.586,27.874,1985,,4368,1,moraine,0
ice,79.846,42.207,1985,,3269,1,ice,0
water pocket,74.879,36.414,1986,,2501,1,other,0
water pocket,88.027,27.586,1986,,4437,1,other,0
moraine,76.602,42.923,1986,,3423,1,moraine,0
ice,79.846,42.207,1986,,3269,1,ice,0
ice,77.193,35.677,1986,,4779,1,ice,0
ice,79.846,42.207,1986,,3269,1,ice,0
ice,77.193,35.677,1987,,4779,1,ice,0
ice,79.846,42.207,1987,,3269,1,ice,0
water pocket,78.332,31.295,1988,,4589,1,other,0
moraine,74.609,42.522,1988,,3466,1,moraine,0
moraine,74.505,42.505,1988,,3343,1,moraine,0
moraine,83.868,29.288,1988,,5372,1,moraine,0
ice,72.146,38.632,1988,,2992,1,ice,0
moraine,74.431,42.537,1988,,3581,1,moraine,0
moraine,76.602,42.923,1988,,3423,1,moraine,0
moraine,96.501,29.466,1988,46.4628,3816,1,moraine,0
moraine/bedrock,92.785,29.554,1988,1.4375,5300,1,moraine,0
ice,79.846,42.207,1988,,3269,1,ice,0
ice,79.846,42.207,1989,371.07300000000004,3269,1,ice,0
ice,79.846,42.207,1989,,3269,1,ice,0
ice,74.01,36.75,1990,,3285,1,ice,0
ice,76.27,35.496,1990,,3634,1,ice,0
ice,77.311,35.253,1990,43.0,4278,1,ice,0
moraine,77.295,43.171,1990,,2413,1,moraine,0
ice,79.846,42.207,1990,273.983,3269,1,ice,0
moraine,88.895,27.965,1990,40.4375,5422,1,moraine,0
moraine,90.326,28.087,1990,107.5,4706,1,moraine,0
water pocket,86.461,27.877,1991,,4557,1,other,0
ice,79.846,42.207,1991,97.1204,3269,1,ice,0
water pocket,74.609,35.93,1992,,4124,1,other,0
water pocket,74.571,36.043,1992,,2648,1,other,0
moraine,76.602,42.923,1992,,3423,1,moraine,0
ice,79.846,42.207,1992,428.9868,3269,1,ice,0
ice,96.538,29.748,1992,52.5625,5117,1,ice,0
moraine,86.447,27.929,1992,24.2022,5194,1,moraine,0
moraine,88.111,27.557,1992,7.6875,4715,1,moraine,0
moraine,74.54,42.528,1993,,3627,1,moraine,0
moraine,74.431,42.537,1993,,3581,1,moraine,0
ice,73.92,36.84,1993,,3551,1,ice,0
ice,76.27,35.496,1993,2.8311,3634,1,ice,0
water pocket,74.609,42.522,1993,,3466,1,other,0
ice,77.311,35.253,1993,26.0,4278,1,ice,0
moraine,77.271,43.146,1993,,3415,1,moraine,0
moraine,73.197,36.033,1993,1.0625,4574,1,moraine,0
ice,79.846,42.207,1993,307.8549,3269,1,ice,0
moraine,82.118,30.356,1994,18.4375,5302,1,moraine,0
ice,74.07,36.62,1994,,2857,1,ice,0
moraine,73.196,36.027,1994,,4762,1,moraine,0
moraine,77.03,42.97,1994,,3584,1,moraine,0
ice,79.846,42.207,1994,148.2415,3269,1,ice,0
moraine,90.3,28.092,1994,119.47160000000001,4513,1,moraine,0
moraine,91.937,28.802,1995,16.5867,5206,1,moraine,0
moraine,85.37,28.662,1995,10.6232,4735,1,moraine,0
moraine,77.1,43.0,1995,,3930,1,moraine,0
ice,79.846,42.207,1995,,3269,1,ice,0
moraine,85.478,28.663,1995,11.5625,5202,1,moraine,0
ice,75.22,36.5,1996,,2941,1,ice,0
unknown,77.15,43.08,1996,,3316,1,other,0
moraine,92.387,27.705,1996,5.0625,5009,1,moraine,0
ice,79.846,42.207,1996,437.08700000000005,3269,1,ice,0
moraine,88.782,27.901,1997,52.3478,5114,1,moraine,0
unknown,77.15,43.08,1997,,3316,1,other,0
ice,77.04,43.04,1997,,3487,1,ice,0
ice,77.024,43.016,1997,,3454,1,ice,0
ice,79.846,42.207,1997,375.927,3269,1,ice,0
ice,77.193,35.677,1997,322.93350000000004,4779,1,ice,0
ice,76.566,43.006,1997,,2317,1,ice,0
moraine,90.418,27.903,1997,4.4375,5128,1,moraine,0
moraine,90.807,27.899,1998,7.8506,4825,1,moraine,0
moraine,76.602,42.923,1998,,3423,1,moraine,0
moraine,71.568,39.75,1998,,3826,1,moraine,0
ice,79.846,42.207,1998,,3269,1,ice,0
moraine,86.845,27.743,1998,51.554,4379,1,moraine,0
moraine,86.776,27.955,1998,1.4375,5010,1,moraine,0
ice,77.193,35.677,1998,337.4064,4779,1,ice,0
moraine,74.54,42.528,1999,,3627,1,moraine,0
water pocket,75.479,36.342,1999,,3475,1,other,0
