Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,expansion_ha_peryr_5y,expansion_ha_peryr_10y
0,M(e),72.901,36.412,2023,11.23,4256,0,moraine,0,48.11615527244123,5.013816066678229,-4.624073750650796
1,O,73.048,36.263,2023,21.68,4618,0,other,0,18.17376012802741,-0.0144803375454038,0.0434430246009551
2,M(e),73.407,36.642,2023,14.06,2748,0,moraine,0,14.698710665884716,-2.5223698391336464,0.3818799687410799
3,E(o),73.384,36.131,2023,23.35,4503,0,other,0,9.501434972289813,0.246683278190412,0.384358686177002
4,E(o),73.423,36.116,2023,21.76,4437,0,other,0,10.518271880418554,0.2029648270465688,0.1885961374415185
5,E(o),73.449,36.112,2023,11.22,4427,0,other,0,16.97645279782551,0.0580380210212268,0.3119564437871519
6,E(o),73.465,36.108,2023,21.58,4488,0,other,0,16.97645279782551,0.0580380210212268,0.3119564437871519
7,E(o),73.461,36.086,2023,13.98,4577,0,other,0,16.97645279782551,0.0580380210212268,0.3119564437871519
8,E(o),73.328,36.024,2023,10.65,4559,0,other,0,8.27944835057171,-0.0290515593600666,0.0290501023453029
9,E(o),73.312,36.0,2023,13.08,4615,0,other,0,9.952886005847317,0.3051321306574636,-0.0581207316763816
10,O,73.704,36.879,2023,262.57,4286,0,other,0,246.952537678805,-0.0718300566986613,0.2370626160430959
11,O,73.646,36.644,2023,105.07,3821,0,other,0,104.68999591648486,0.1585406672325717,0.0576397182595613
12,E(o),73.566,36.431,2023,12.25,4030,0,other,0,11.704408994481495,-0.028899358440676,-0.4043340880655254
13,E(o),73.514,36.351,2023,17.25,4420,0,other,0,12.50868988588592,-0.5792814287565772,-0.2028510951375626
14,E(o),73.616,36.154,2023,13.83,4545,0,other,0,16.025743061623555,0.3480679684825919,0.4785913017502814
15,E(o),73.639,36.145,2023,17.96,4484,0,other,0,16.025743061623555,0.3480679684825919,0.4785913017502814
16,E(o),73.505,36.129,2023,23.11,4482,0,other,0,19.583140355536163,0.0870350859373715,0.2248400508608416
17,E(c),73.668,36.096,2023,10.48,4423,0,other,0,25.618998220467393,0.0580587079936421,0.2612758019423363
18,O,73.646,36.08,2023,28.87,4344,0,other,0,25.764152955161357,0.0725741570917158,0.261275801942337
19,E(o),73.592,36.039,2023,18.87,4274,0,other,0,15.974919654606154,-0.0145223911921554,0.058091380728818
20,E(o),73.714,36.03,2023,10.47,4320,0,other,0,9.585979053092249,-0.087144164659303,0.0798832214933469
21,E(o),73.558,36.011,2023,24.48,4232,0,other,0,18.304954662970047,0.0435770126790693,0.123479619836938
22,O,73.955,36.265,2023,27.89,3706,0,other,0,28.52157186111091,0.3463925603118888,0.1152736759802408
23,E(o),74.084,36.239,2023,20.57,3453,0,other,0,93.9566508144551,15.59002731552602,7.650156252252918
24,I(s),75.136,36.137,2023,24.88,3697,0,ice,1,4.279136395896718,0.159383024057316,-1.0007704096837646
25,I(s),75.14,36.126,2023,12.99,3725,0,ice,1,53.25340366688081,4.106697825870027,1.247932976904932
26,E(o),75.686,36.44,2023,28.09,4709,0,other,0,24.273312281922067,0.0433473624150074,0.0216726930800597
27,O,72.613,35.994,2023,201.58,3622,0,other,0,201.6877896342804,0.2034127851131643,0.0799173447953677
28,O,72.595,35.944,2023,96.35,3761,0,other,0,99.017334027099,0.3489952418280665,0.1890426107624733
