Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha
0,M(e),72.901,36.412,2023,11.23,4256,0,moraine,0,48.11615527244123
1,O,73.048,36.263,2023,21.68,4618,0,other,0,18.17376012802741
2,M(e),73.407,36.642,2023,14.06,2748,0,moraine,0,14.698710665884716
3,E(o),73.384,36.131,2023,23.35,4503,0,other,0,9.501434972289813
4,E(o),73.423,36.116,2023,21.76,4437,0,other,0,10.518271880418554
5,E(o),73.449,36.112,2023,11.22,4427,0,other,0,16.97645279782551
6,E(o),73.465,36.108,2023,21.58,4488,0,other,0,16.97645279782551
7,E(o),73.461,36.086,2023,13.98,4577,0,other,0,16.97645279782551
8,E(o),73.328,36.024,2023,10.65,4559,0,other,0,8.27944835057171
9,E(o),73.312,36.0,2023,13.08,4615,0,other,0,9.952886005847317
10,O,73.704,36.879,2023,262.57,4286,0,other,0,246.952537678805
11,O,73.646,36.644,2023,105.07,3821,0,other,0,104.68999591648486
12,E(o),73.566,36.431,2023,12.25,4030,0,other,0,11.704408994481497
13,E(o),73.514,36.351,2023,17.25,4420,0,other,0,12.50868988588592
14,E(o),73.616,36.154,2023,13.83,4545,0,other,0,16.025743061623555
15,E(o),73.639,36.145,2023,17.96,4484,0,other,0,16.025743061623555
16,E(o),73.505,36.129,2023,23.11,4482,0,other,0,19.583140355536163
17,E(c),73.668,36.096,2023,10.48,4423,0,other,0,25.618998220467393
18,O,73.646,36.08,2023,28.87,4344,0,other,0,25.764152955161357
19,E(o),73.592,36.039,2023,18.87,4274,0,other,0,15.974919654606154
20,E(o),73.714,36.03,2023,10.47,4320,0,other,0,9.585979053092249
21,E(o),73.558,36.011,2023,24.48,4232,0,other,0,18.304954662970047
22,O,73.955,36.265,2023,27.89,3706,0,other,0,28.521571861110914
23,E(o),74.084,36.239,2023,20.57,3453,0,other,0,93.9566508144551
24,I(s),75.136,36.137,2023,24.88,3697,0,ice,1,4.279136395896718
25,I(s),75.14,36.126,2023,12.99,3725,0,ice,1,53.25340366688081
26,E(o),75.686,36.44,2023,28.09,4709,0,other,0,24.273312281922067
27,O,72.613,35.994,2023,201.58,3622,0,other,0,201.68778963428042
28,O,72.595,35.944,2023,96.35,3761,0,other,0,99.01733402709901
29,E(o),72.94,35.869,2023,20.01,4378,0,other,0,19.211140492718854
30,E(v),72.98,35.855,2023,13.35,4325,0,other,0,30.42973253981787
31,O,73.064,35.92,2023,21.34,4303,0,other,0,21.67125027916168
32,E(o),73.155,35.906,2023,24.24,4328,0,other,0,22.91167153511848
33,E(o),73.073,35.871,2023,15.95,4617,0,other,0,15.574724374448753
34,E(o),73.228,35.829,2023,12.38,4195,0,other,0,19.804204297743375
35,E(c),73.211,35.825,2023,26.44,4271,0,other,0,19.804204297743375
36,E(o),73.216,35.73,2023,26.36,3970,0,other,0,23.399875956682575
37,E(o),73.313,35.987,2023,10.23,4583,0,other,0,9.952886005847317
38,E(o),73.397,35.962,2023,18.84,4349,0,other,0,17.00796784479261
39,E(o),73.289,35.949,2023,54.23,4228,0,other,0,29.15229200251365
40,E(c),73.365,35.945,2023,67.34,4162,0,other,0,61.28545230450648
41,E(o),73.269,35.936,2023,11.45,4362,0,other,0,29.15229200251365
42,E(o),73.274,35.925,2023,11.46,4227,0,other,0,24.572526704879916
43,E(o),73.342,35.925,2023,11.69,4396,0,other,0,24.282470625289143
44,E(o),73.371,35.918,2023,12.25,4502,0,other,0,25.518481175853893
45,O,73.297,35.817,2023,15.36,2981,0,other,0,11.796353349095169
46,E(c),73.256,35.739,2023,18.92,4016,0,other,0,23.688980306513646
47,E(c),73.344,35.675,2023,25.12,3428,0,other,0,21.811116572834933
48,E(o),73.357,35.652,2023,19.01,3735,0,other,0,19.70144380343279
49,E(o),73.352,35.643,2023,13.95,3747,0,other,0,19.70144380343279
50,E(o),73.568,35.904,2023,18.03,4109,0,other,0,25.756708018175633
51,E(o),73.692,35.889,2023,11.02,3995,0,other,0,9.530340015311928
52,E(c),73.577,35.88,2023,30.86,4059,0,other,0,28.15783449114347
53,E(o),73.615,35.877,2023,14.58,3993,0,other,0,11.714710622675133
54,E(o),73.746,35.865,2023,84.31,4140,0,other,0,75.2475944091597
55,E(o),73.507,35.783,2023,12.26,3918,0,other,0,9.397382871467311
56,E(o),73.572,35.782,2023,22.07,4082,0,other,0,15.662493815648858
57,E(c),73.911,35.972,2023,29.25,4426,0,other,0,23.25582330266036
58,E(o),73.985,35.939,2023,19.57,4258,0,other,0,14.395550523113137
59,E(o),73.945,35.917,2023,12.08,4178,0,other,0,12.583278777002016
60,E(o),73.992,35.916,2023,11.42,4312,0,other,0,13.813934490727986
61,E(o),73.922,35.906,2023,15.98,4223,0,other,0,12.583278777002016
62,E(o),73.763,35.882,2023,40.94,4104,0,other,0,75.2475944091597
63,E(o),73.929,35.868,2023,17.55,4064,0,other,0,14.335743621026879
64,E(o),73.869,35.858,2023,15.26,4211,0,other,0,15.284866505779693
65,E(o),73.775,35.856,2023,28.28,3962,0,other,0,47.52181525732616
66,E(o),73.877,35.852,2023,19.43,4166,0,other,0,15.284866505779693
67,E(o),73.799,35.247,2023,17.06,3988,0,other,0,12.980478020429494
68,E(o),73.958,35.184,2023,10.49,4120,0,other,0,7.85309839633605
69,E(o),73.985,34.83,2023,20.67,3873,0,other,0,13.931343725879964
70,E(o),74.019,35.962,2023,15.37,4285,0,other,0,11.193267916906926
71,E(c),74.083,35.817,2023,16.71,4269,0,other,0,14.344925735750392
72,E(o),74.205,35.779,2023,12.36,4304,0,other,0,9.325027679784688
73,E(c),74.196,35.773,2023,11.01,4368,0,other,0,9.325027679784688
74,E(o),74.243,35.707,2023,15.89,4318,0,other,0,10.500173370969748
75,E(o),74.23,35.686,2023,14.12,4336,0,other,0,10.500173370969748
76,E(c),74.177,35.073,2023,11.97,4042,0,other,0,9.113144069448687
77,E(c),74.294,35.821,2023,12.04,4313,0,other,0,9.902641785946617
78,E(o),74.256,35.722,2023,10.77,4254,0,other,0,10.500173370969748
79,E(o),74.676,35.4,2023,13.97,3386,0,other,0,15.664380827785289
80,E(o),74.941,35.332,2023,11.74,4427,0,other,0,72.98127742730348
81,M(l),74.786,35.33,2023,15.07,3475,0,moraine,0,12.967162503026637
82,M(e),74.937,35.315,2023,20.13,4197,0,moraine,0,76.49856032302654
83,E(o),74.961,35.082,2023,30.64,4317,0,other,0,22.853893791329597
84,E(o),74.958,35.075,2023,10.45,4413,0,other,0,22.853893791329597
85,E(o),74.1,34.962,2023,29.65,3603,0,other,0,23.991268436690195
86,E(c),74.138,34.948,2023,20.03,4011,0,other,0,16.487673886410068
87,E(c),74.155,34.926,2023,21.64,3926,0,other,0,16.050301201888324
88,E(c),74.048,34.902,2023,21.58,3896,0,other,0,13.182803580734628
89,E(c),74.077,34.858,2023,20.51,3680,0,other,0,17.095342258200127
90,E(c),74.062,34.829,2023,93.9,3681,0,other,0,78.577048011921
91,E(c),74.477,34.876,2023,12.31,3592,0,other,0,11.419881420568636
92,M(e),74.521,34.92,2023,60.6,4041,0,moraine,0,71.20158508318278
93,E(c),74.68,34.908,2023,23.48,3864,0,other,0,22.166060054350126
94,E(c),74.523,34.849,2023,22.54,4016,0,other,0,27.776484805527982
95,E(c),74.676,34.84,2023,10.66,3868,0,other,0,11.421669877699024
96,E(o),74.787,34.846,2023,14.18,3883,0,other,0,41.27094307515965
97,E(c),74.809,34.845,2023,50.44,3992,0,other,0,41.27094307515965
98,E(c),74.761,34.84,2023,25.43,3979,0,other,0,19.162748112893496
99,E(c),74.819,34.548,2023,31.47,3872,0,other,0,25.66871635014161
100,E(c),74.828,34.537,2023,30.51,3922,0,other,0,25.66871635014161
101,E(o),74.921,34.493,2023,38.39,3881,0,other,0,33.971502111132644
102,E(c),74.906,34.489,2023,11.89,4097,0,other,0,33.971502111132644
103,E(o),74.913,34.47,2023,10.44,3852,0,other,0,33.823503865757274
104,M(o),74.985,34.457,2023,10.33,3748,0,moraine,0,7.034169860541034
105,E(o),74.932,34.452,2023,12.3,3889,0,other,0,151.3167538772035
106,E(c),74.909,34.448,2023,15.48,3979,0,other,0,130.429482111346
107,E(c),74.892,34.444,2023,33.95,3846,0,other,0,60.659184856222886
108,E(c),74.924,34.432,2023,161.04,3571,0,other,0,151.3167538772035
109,E(o),74.936,34.418,2023,36.65,3503,0,other,0,151.3167538772035
110,E(o),74.874,34.392,2023,27.31,3556,0,other,0,20.970635871104502
111,E(c),74.944,34.385,2023,11.22,3722,0,other,0,8.225926617676498
112,E(o),74.876,34.38,2023,11.58,3738,0,other,0,20.970635871104502
113,E(c),74.417,33.866,2023,13.62,3968,0,other,0,19.242714851575553
114,E(o),74.428,33.841,2023,45.46,3954,0,other,0,39.0083365221193
115,E(o),74.435,33.829,2023,15.18,4043,0,other,0,39.0083365221193
116,E(c),74.451,33.82,2023,29.43,3997,0,other,0,24.69388695649548
117,E(o),74.526,33.74,2023,10.16,4018,0,other,0,8.961422347523568
118,E(o),74.523,33.735,2023,13.69,4064,0,other,0,8.961422347523568
119,E(o),74.526,33.559,2023,22.97,3851,0,other,0,18.18408372065635
120,E(o),74.543,33.55,2023,16.04,3912,0,other,0,19.53591105444801
121,E(o),74.523,33.54,2023,10.32,3812,0,other,0,18.18408372065635
122,E(o),74.565,33.54,2023,21.73,3967,0,other,0,37.13270683404131
123,E(o),74.555,33.536,2023,31.85,4006,0,other,0,19.53591105444801
124,E(o),74.574,33.53,2023,12.27,3955,0,other,0,61.38985386785405
125,E(c),74.561,33.528,2023,11.15,4096,0,other,0,61.38985386785405
126,E(o),74.605,33.522,2023,12.33,3844,0,other,0,61.38985386785405
127,E(o),74.584,33.519,2023,70.83,3934,0,other,0,61.38985386785405
128,E(o),74.564,33.51,2023,25.15,3909,0,other,0,61.38985386785405
129,E(o),74.625,33.509,2023,33.7,3937,0,other,0,31.372284091499854
130,E(c),74.594,33.505,2023,11.35,4089,0,other,0,61.38985386785405
131,E(o),74.565,33.496,2023,11.18,3812,0,other,0,25.82939994758409
132,E(c),74.614,33.444,2023,14.88,3580,0,other,0,2.1730097615724735
133,O,74.769,33.512,2023,128.54,3486,0,other,0,123.0138683498062
134,E(o),74.85,33.503,2023,14.64,3623,0,other,0,38.04594635515717
135,E(o),75.194,35.264,2023,19.03,4551,0,other,0,17.010564403715012
136,E(o),75.182,35.231,2023,11.26,4547,0,other,0,8.508717238772846
137,E(o),75.228,35.119,2023,17.81,4586,0,other,0,13.074412768064189
138,E(c),75.198,35.049,2023,12.71,4398,0,other,0,9.630478148546974
139,E(o),75.001,35.016,2023,10.87,3931,0,other,0,9.854935346869974
140,E(o),75.422,35.182,2023,14.33,4530,0,other,0,12.403687666400504
141,E(o),75.261,35.143,2023,11.84,4659,0,other,0,22.537713158570554
142,E(o),75.321,35.132,2023,19.58,4526,0,other,0,16.15672988019728
143,E(o),75.521,35.172,2023,10.3,4551,0,other,0,8.588325962441528
144,E(o),75.579,35.096,2023,10.98,4375,0,other,0,8.96368537735242
145,E(o),75.725,35.027,2023,12.92,4647,0,other,0,7.500571838717643
146,O,75.236,34.991,2023,129.62,4138,0,other,0,115.64745213580038
147,E(c),75.051,34.972,2023,14.29,4265,0,other,0,11.847057791365318
148,E(o),75.25,34.922,2023,14.22,4152,0,other,0,9.571783824605072
149,E(o),75.177,34.92,2023,14.54,4257,0,other,0,11.633746555606033
150,E(o),75.189,34.919,2023,14.34,4225,0,other,0,11.633746555606033
151,E(o),75.137,34.697,2023,64.95,4103,0,other,0,57.36649651851299
152,E(o),75.14,34.684,2023,21.41,4133,0,other,0,57.36649651851299
153,E(o),75.179,34.666,2023,74.54,4234,0,other,0,65.65952711489385
154,E(c),75.058,34.422,2023,40.12,3570,0,other,0,36.14862774040238
155,E(c),75.103,34.397,2023,29.55,3812,0,other,0,39.34977593654993
156,E(c),75.119,34.388,2023,47.25,3663,0,other,0,39.34977593654993
157,E(o),75.147,34.207,2023,10.35,3699,0,other,0,6.906591341366802
158,E(o),75.205,34.203,2023,15.92,3682,0,other,0,11.585917987040615
159,E(o),75.113,34.156,2023,10.27,3941,0,other,0,36.11962177232615
160,E(o),75.11,34.144,2023,43.47,3810,0,other,0,36.11962177232615
161,E(c),75.148,34.14,2023,82.93,3780,0,other,0,71.79724534614945
162,E(o),75.161,34.093,2023,17.8,3919,0,other,0,12.56761725946506
163,E(o),75.216,34.063,2023,13.36,3691,0,other,0,9.224534251664181
164,E(c),75.382,34.825,2023,22.94,4315,0,other,0,18.20796653017041
165,E(o),75.48,34.775,2023,10.8,4626,0,other,0,8.998811340659838
166,E(o),75.275,34.234,2023,18.23,3830,0,other,0,14.476938405188095
167,E(c),75.321,34.193,2023,10.81,3734,0,other,0,17.384569787978627
168,E(c),75.373,34.184,2023,16.8,4276,0,other,0,16.491237412537682
169,E(o),75.377,34.139,2023,33.45,3709,0,other,0,27.202939976178698
170,O,75.498,34.094,2023,52.27,3575,0,other,0,52.35270703218281
171,E(o),75.475,34.067,2023,17.85,3724,0,other,0,15.249575477279723
172,E(o),75.553,34.987,2023,17.86,4269,0,other,0,14.125647322798645
173,E(o),75.545,34.965,2023,13.7,4412,0,other,0,14.125647322798645
174,E(o),75.592,34.947,2023,24.89,4558,0,other,0,20.462739459141304
175,E(o),75.617,34.896,2023,11.97,4547,0,other,0,12.15270571339669
176,E(o),75.713,34.893,2023,19.39,4589,0,other,0,15.09925617287771
177,E(o),75.68,34.883,2023,13.31,4627,0,other,0,12.522960900599253
178,E(o),75.716,34.873,2023,15.83,4664,0,other,0,15.09925617287771
179,E(o),75.545,34.808,2023,12.86,4687,0,other,0,13.64036124154306
180,E(o),75.649,34.491,2023,15.37,4521,0,other,0,10.954007056566716
181,E(o),75.763,34.947,2023,25.14,4778,0,other,0,21.346016656522647
182,E(o),75.892,34.888,2023,10.29,4882,0,other,0,16.428074616776385
183,E(o),75.871,34.878,2023,18.96,4687,0,other,0,16.428074616776385
184,E(o),75.942,34.859,2023,13.73,4796,0,other,0,11.568669538688532
185,M(e),75.844,34.04,2023,25.26,4094,0,moraine,0,91.25300187267781
186,E(o),75.378,33.953,2023,15.37,3644,0,other,0,15.791393535965756
187,E(c),75.411,33.952,2023,26.79,4082,0,other,0,20.558889844851603
188,E(c),75.389,33.929,2023,19.34,4048,0,other,0,13.10986402723215
189,E(o),75.47,33.754,2023,10.88,3921,0,other,0,2.6131792922109396
190,E(c),75.537,33.619,2023,10.85,3852,0,other,0,7.029252907761173
191,M(l),76.03,35.954,2023,10.62,4276,0,moraine,0,26.529612776114035
192,O,76.205,35.171,2023,30.72,3301,0,other,0,24.07685128844097
193,E(o),76.234,35.097,2023,22.96,4512,0,other,0,21.161119938861933
194,M(l),76.41,35.73,2023,13.28,4161,0,moraine,0,521.1557923802166
195,M(l),76.375,35.72,2023,12.14,4140,0,moraine,0,336.5923816377833
196,M(e),76.252,35.092,2023,24.01,4533,0,moraine,0,21.161119938861933
197,E(c),76.293,35.074,2023,12.08,4599,0,other,0,17.19804091609273
198,E(o),76.261,35.056,2023,16.89,4881,0,other,0,19.917437796534518
199,E(o),76.32,35.011,2023,15.36,4753,0,other,0,11.400216624966811
200,M(e),76.075,34.351,2023,10.63,4435,0,moraine,0,108.41008921302802
201,E(o),76.383,34.854,2023,13.61,4688,0,other,0,8.916517236731226
202,E(o),76.368,34.854,2023,13.27,4821,0,other,0,8.916517236731226
203,E(o),76.352,34.833,2023,10.34,4818,0,other,0,8.179639730332305
204,E(o),76.456,34.827,2023,19.82,4648,0,other,0,15.037352184666888
205,E(o),76.409,34.818,2023,10.2,4816,0,other,0,5.529147746161161
206,E(o),76.5,34.772,2023,10.53,4761,0,other,0,7.744511796325558
207,E(o),76.469,34.762,2023,17.67,4895,0,other,0,12.172461161977067
208,E(o),76.517,34.813,2023,20.6,4771,0,other,0,14.37662288692742
209,E(o),76.502,34.811,2023,12.91,4762,0,other,0,14.37662288692742
210,E(o),76.711,34.765,2023,10.06,5123,0,other,0,81.44064475366343
211,M(e),76.718,34.051,2023,15.8,5093,0,moraine,0,17.70765782304155
212,M(e),76.721,34.005,2023,18.32,5050,0,moraine,0,18.387372048884846
213,E(o),76.758,34.671,2023,29.88,4965,0,other,0,27.990510948238796
214,M(e),76.788,34.006,2023,14.15,5126,0,moraine,0,15.851378032265737
215,M(e),76.23,33.945,2023,49.66,4357,0,moraine,0,46.633722412146554
216,M(e),76.019,33.942,2023,24.05,4197,0,moraine,0,28.160351416666042
217,M(e),76.121,33.868,2023,39.44,4071,0,moraine,0,44.73755562459164
218,M(e),76.375,33.844,2023,18.49,4116,0,moraine,0,23.568505157161272
219,O,76.45,33.507,2023,16.41,4219,0,other,0,10.407863020204294
220,M(e),76.984,33.159,2023,59.78,4479,0,moraine,0,52.24766051208575
221,E(o),76.332,32.336,2023,25.65,3971,0,other,0,17.75440092513418
222,M(lg),77.513,35.476,2023,21.93,5342,0,moraine,0,12.870692908771591
223,M(l),77.7,35.032,2023,18.02,5161,0,moraine,0,90.78358351253922
224,O,77.856,35.06,2023,32.78,4679,0,other,0,0.2205599519976613
225,M(e),77.616,34.905,2023,14.51,5125,0,moraine,0,18.41127788048262
226,M(e),77.983,34.398,2023,28.02,5344,0,moraine,0,30.74966737630928
227,O,77.664,33.556,2023,10.15,5222,0,other,0,39.438659115069036
228,O,77.979,33.999,2023,43.72,4991,0,other,0,37.968165218865344
229,M(e),77.22,32.526,2023,77.59,4069,0,moraine,0,101.0045281482979
230,M(e),77.547,32.499,2023,128.69,4150,0,moraine,0,153.74546587357224
231,E(o),77.615,32.483,2023,47.3,4276,0,other,0,39.920218587078764
232,M(e),78.09,34.521,2023,10.62,5270,0,moraine,0,85.38245389115723
233,M(e),78.101,34.52,2023,10.28,5265,0,moraine,0,85.38245389115723
234,M(o),78.136,34.457,2023,95.68,5295,0,moraine,0,94.33223754473721
235,M(e),78.143,34.446,2023,20.53,5311,0,moraine,0,94.33223754473721
236,M(e),78.079,34.401,2023,20.39,5307,0,moraine,0,35.191315403732546
237,E(o),78.089,34.39,2023,11.16,5226,0,other,0,22.01213294949546
238,O,78.426,34.233,2023,64.78,5350,0,other,0,58.27986426988302
239,E(o),78.516,34.2,2023,24.44,5386,0,other,0,40.78150656899252
240,E(o),78.553,34.151,2023,65.02,5566,0,other,0,57.59359205795269
241,E(o),78.23,33.281,2023,34.7,5646,0,other,0,32.43045060659752
242,M(o),78.197,33.137,2023,10.3,5733,0,moraine,0,28.647862028896117
243,E(o),78.498,33.496,2023,16.54,5428,0,other,0,13.254840320124847
244,O,78.498,33.455,2023,147.89,5308,0,other,0,137.2549892796482
245,O,78.488,33.427,2023,177.73,5284,0,other,0,165.1785492141626
246,M(o),78.47,33.055,2023,36.49,5745,0,moraine,0,31.084302568889317
247,E(c),78.506,33.558,2023,25.33,5665,0,other,0,21.546424745747878
248,E(o),78.519,33.517,2023,13.66,5404,0,other,0,9.732763068736022
249,O,78.502,33.474,2023,15.1,5312,0,other,0,125.94080044985455
250,M(e),78.272,32.363,2023,13.59,5357,0,moraine,0,9.178460157302517
251,M(e),78.726,32.736,2023,34.79,5626,0,moraine,0,35.28415952377826
252,M(e),78.852,32.492,2023,11.12,5706,0,moraine,0,28.477289557494718
253,M(e),78.925,32.441,2023,10.65,5680,0,moraine,0,13.340289631704445
254,M(e),78.9,32.409,2023,30.44,5468,0,moraine,0,34.04273944577902
255,M(o),78.979,32.32,2023,10.51,5498,0,moraine,0,9.943352025816676
256,M(e),78.845,32.029,2023,15.62,5621,0,moraine,0,18.87783160069271
257,O,79.044,32.21,2023,21.55,5272,0,other,0,16.71543265350492
258,O,79.393,32.377,2023,24.86,5448,0,other,0,15.77442372384831
259,E(o),79.622,32.399,2023,23.72,5058,0,other,0,21.912131350809346
260,M(e),79.659,32.389,2023,12.3,5720,0,moraine,0,50.052960653479914
261,E(o),79.662,32.298,2023,17.15,5690,0,other,0,19.510750460747108
262,M(e),78.168,31.661,2023,23.2,4255,0,moraine,0,39.82625677988396
263,M(o),78.254,31.339,2023,11.46,4676,0,moraine,0,11.734659688994078
264,M(e),78.845,31.993,2023,20.9,5613,0,moraine,0,27.872465278639126
265,M(e),78.784,31.919,2023,13.44,5351,0,moraine,0,41.61187937501782
266,M(e),78.84,31.914,2023,18.03,5583,0,moraine,0,24.543315129907466
267,M(e),78.751,31.554,2023,10.67,5276,0,moraine,0,3.7495957296732136
268,M(e),79.958,31.984,2023,15.73,5544,0,moraine,0,34.348025161547135
269,M(e),79.986,31.95,2023,10.43,5449,0,moraine,0,25.98194136923053
270,M(e),79.994,31.937,2023,14.46,5494,0,moraine,0,60.13436947573995
271,E(o),79.865,31.925,2023,31.43,5356,0,other,0,28.42861384043534
272,E(o),79.988,31.909,2023,14.06,5558,0,other,0,67.68003013766777
273,E(c),79.986,31.9,2023,10.24,5663,0,other,0,24.69475657082864
274,E(o),79.984,31.878,2023,27.77,5514,0,other,0,20.28378448806057
275,M(e),80.09,34.282,2023,25.66,5697,0,moraine,0,24.337245619287593
276,M(lg),80.84,34.324,2023,13.22,5742,0,moraine,0,58.35723659288682
277,I(d),80.858,34.316,2023,232.34,5709,0,ice,0,75.41177088293622
278,M(e),80.982,34.307,2023,42.6,5729,0,moraine,0,38.72005090878367
279,O,80.865,32.423,2023,58.84,4452,0,other,0,29.486578356871714
280,O,81.202,34.299,2023,61.15,5274,0,other,0,55.118787294166246
281,E(o),81.257,34.341,2023,51.89,5298,0,other,0,53.31163095757881
282,E(o),80.001,31.9,2023,20.08,5476,0,other,0,17.4580980724551
283,E(o),79.999,31.881,2023,13.93,5511,0,other,0,20.28378448806057
284,M(e),80.664,31.694,2023,14.11,5532,0,moraine,0,15.893002297150053
285,O,80.948,31.499,2023,19.6,5238,0,other,0,14.547770105878328
286,O,80.985,31.495,2023,24.74,5386,0,other,0,21.750752775499407
287,O,80.992,31.474,2023,26.9,5408,0,other,0,21.750752775499407
288,M(e),80.4,30.552,2023,26.56,4990,0,moraine,0,23.276920402006493
289,M(e),80.592,30.477,2023,12.63,5263,0,moraine,0,13.390093835301906
290,O,81.063,31.985,2023,11.79,4734,0,other,0,0.9901806015434448
291,O,81.157,31.442,2023,13.01,5240,0,other,0,18.234070712520914
292,M(e),81.032,31.285,2023,13.53,5617,0,moraine,0,12.27872323089523
293,E(o),81.176,31.285,2023,18.1,5171,0,other,0,15.11816650947578
294,E(o),81.133,31.26,2023,12.43,5530,0,other,0,9.364915624119984
295,M(e),81.138,31.234,2023,10.92,5562,0,moraine,0,7.601537050904682
296,E(o),81.195,31.182,2023,52.48,5413,0,other,0,45.3270136675103
297,M(e),81.152,31.179,2023,19.91,5514,0,moraine,0,19.5144136614147
298,E(o),81.243,31.153,2023,15.57,5651,0,other,0,8.683936885740097
299,O,81.631,31.284,2023,25.89,5259,0,other,0,24.711167001821142
300,O,81.595,31.274,2023,156.89,5229,0,other,0,140.60695185007322
301,O,81.518,31.272,2023,28.77,5172,0,other,0,26.249324135588015
302,E(o),81.433,30.431,2023,192.62,5484,0,other,0,189.23560085933778
303,M(o),81.463,30.43,2023,13.7,5572,0,moraine,0,79.13112079788996
304,M(e),81.468,30.416,2023,10.02,5603,0,moraine,0,23.07310589158291
305,M(o),81.476,30.409,2023,11.76,5542,0,moraine,0,10.532577224950813
306,E(o),81.702,30.515,2023,10.17,4818,0,other,0,3.713377475174114
307,E(o),81.714,30.43,2023,23.45,5184,0,other,0,19.434756048110742
308,E(o),81.721,30.421,2023,18.94,5247,0,other,0,19.434756048110742
309,E(o),81.533,30.393,2023,17.49,5128,0,other,0,11.773753423771714
310,O,81.993,30.463,2023,20.76,5161,0,other,0,21.982531534501824
311,E(o),81.871,30.427,2023,21.31,5338,0,other,0,20.132211438146733
312,E(o),81.868,30.419,2023,14.11,5356,0,other,0,20.132211438146733
313,M(e),81.853,30.399,2023,13.91,5722,0,moraine,0,18.356699040989188
314,M(e),81.964,30.392,2023,20.83,5675,0,moraine,0,25.794125990484467
315,M(e),81.818,30.39,2023,14.51,5544,0,moraine,0,22.46631647854576
316,M(e),81.895,30.39,2023,10.27,5441,0,moraine,0,22.776513150086473
317,M(e),81.93,30.385,2023,59.79,5224,0,moraine,0,46.635179714798525
318,M(e),81.841,30.385,2023,12.42,5571,0,moraine,0,22.46631647854576
319,E(o),82.084,30.592,2023,10.15,5382,0,other,0,9.19877337181088
320,M(e),82.02,30.376,2023,11.62,5493,0,moraine,0,10.92353558179652
321,E(o),78.211,31.231,2023,10.66,4264,0,other,0,8.292860143785488
322,E(c),78.255,31.26,2023,15.1,4403,0,other,0,13.126303389705042
323,M(e),78.987,30.746,2023,25.56,4734,0,moraine,0,35.72376034123659
324,M(e),79.46,30.976,2023,17.02,5537,0,moraine,0,102.30901574961008
325,I(s),79.747,30.904,2023,11.05,4683,0,ice,1,19.10903363586442
326,I(s),79.746,30.901,2023,11.41,4689,0,ice,1,31.518733261668082
