Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1_10y,area_t2_10y,expansion_ha_peryr_10y
0,M(e),72.901,36.412,2023,11.23,4256,0,moraine,0,48.11615527244123,94.35689277895928,48.11615527245132,-4.624073750650796
1,O,73.048,36.263,2023,21.68,4618,0,other,0,18.17376012802741,17.739329882027995,18.173760128037546,0.04344302460095513
2,M(e),73.407,36.642,2023,14.06,2748,0,moraine,0,14.698710665884716,10.879910978476275,14.698710665887074,0.3818799687410799
3,E(o),73.384,36.131,2023,23.35,4503,0,other,0,9.501434972289813,5.657848110517981,9.501434972288001,0.384358686177002
4,E(o),73.423,36.116,2023,21.76,4437,0,other,0,10.518271880418554,8.632310506011025,10.51827188042621,0.1885961374415185
5,E(o),73.449,36.112,2023,11.22,4427,0,other,0,16.97645279782551,13.856888359973164,16.976452797844683,0.3119564437871519
6,E(o),73.465,36.108,2023,21.58,4488,0,other,0,16.97645279782551,13.856888359973164,16.976452797844683,0.3119564437871519
7,E(o),73.461,36.086,2023,13.98,4577,0,other,0,16.97645279782551,13.856888359973164,16.976452797844683,0.3119564437871519
8,E(o),73.328,36.024,2023,10.65,4559,0,other,0,8.27944835057171,7.988947327121175,8.279448350574205,0.029050102345302965
9,E(o),73.312,36.0,2023,13.08,4615,0,other,0,9.952886005847317,10.534093322608951,9.952886005845135,-0.05812073167638161
10,O,73.704,36.879,2023,262.57,4286,0,other,0,246.952537678805,244.58191151852654,246.9525376789575,0.2370626160430959
11,O,73.646,36.644,2023,105.07,3821,0,other,0,104.68999591648486,104.11359873388307,104.68999591647868,0.05763971825956134
12,E(o),73.566,36.431,2023,12.25,4030,0,other,0,11.704408994481495,15.747749875131815,11.70440899447656,-0.4043340880655254
13,E(o),73.514,36.351,2023,17.25,4420,0,other,0,12.50868988588592,14.537200859348511,12.508689907972885,-0.2028510951375626
14,E(o),73.616,36.154,2023,13.83,4545,0,other,0,16.025743061623555,11.239830044124432,16.025743061627246,0.4785913017502814
15,E(o),73.639,36.145,2023,17.96,4484,0,other,0,16.025743061623555,11.239830044124432,16.025743061627246,0.4785913017502814
16,E(o),73.505,36.129,2023,23.11,4482,0,other,0,19.583140355536163,17.33473984693109,19.583140355539506,0.2248400508608416
17,E(c),73.668,36.096,2023,10.48,4423,0,other,0,25.618998220467393,23.00624020104334,25.618998220466704,0.26127580194233635
18,O,73.646,36.08,2023,28.87,4344,0,other,0,25.764152955161357,23.151394935737304,25.764152955160675,0.26127580194233707
19,E(o),73.592,36.039,2023,18.87,4274,0,other,0,15.974919654606154,15.394005847320138,15.974919654608318,0.05809138072881801
20,E(o),73.714,36.03,2023,10.47,4320,0,other,0,9.585979053092249,8.787146838156634,9.585979053090103,0.07988322149334692
21,E(o),73.558,36.011,2023,24.48,4232,0,other,0,18.304954662970047,17.070158464592065,18.304954662961446,0.12347961983693807
22,O,73.955,36.265,2023,27.89,3706,0,other,0,28.52157186111091,27.36883507914348,28.52157183894589,0.11527367598024085
23,E(o),74.084,36.239,2023,20.57,3453,0,other,0,93.9566508144551,17.455088291921207,93.95665081445038,7.650156252252918
24,I(s),75.136,36.137,2023,24.88,3697,0,ice,1,4.279136395896718,14.286840492734584,4.279136395896937,-1.0007704096837646
25,I(s),75.14,36.126,2023,12.99,3725,0,ice,1,53.25340366688081,40.77407389786053,53.253403666909854,1.247932976904932
26,E(o),75.686,36.44,2023,28.09,4709,0,other,0,24.273312281922067,24.056585351122113,24.27331228192271,0.021672693080059702
27,O,72.613,35.994,2023,201.58,3622,0,other,0,201.6877896342804,200.88861618632603,201.6877896342797,0.07991734479536775
28,O,72.595,35.944,2023,96.35,3761,0,other,0,99.017334027099,97.12690791947891,99.01733402710364,0.18904261076247336
29,E(o),72.94,35.869,2023,20.01,4378,0,other,0,19.211140492718854,18.556212946185298,19.211140492719444,0.06549275465341467
30,E(v),72.98,35.855,2023,13.35,4325,0,other,0,30.42973253981787,18.636337263011782,30.42973253967964,1.179339527666786
31,O,73.064,35.92,2023,21.34,4303,0,other,0,21.67125027916168,21.453088822759465,21.6712502791551,0.021816145639563446
32,E(o),73.155,35.906,2023,24.24,4328,0,other,0,22.91167153511848,21.9661014661458,22.91167153515656,0.09455700690107598
33,E(o),73.073,35.871,2023,15.95,4617,0,other,0,15.574724374448753,13.24750847412422,15.57472437443908,0.232721590031486
34,E(o),73.228,35.829,2023,12.38,4195,0,other,0,19.804204297743375,16.52775296691357,19.804204297741872,0.32764513308283016
35,E(c),73.211,35.825,2023,26.44,4271,0,other,0,19.804204297743375,16.52775296691357,19.804204297741872,0.32764513308283016
36,E(o),73.216,35.73,2023,26.36,3970,0,other,0,23.399875956682575,22.306415736592662,23.399875956683523,0.10934602200908614
37,E(o),73.313,35.987,2023,10.23,4583,0,other,0,9.952886005847317,10.534093322608951,9.952886005845135,-0.05812073167638161
38,E(o),73.397,35.962,2023,18.84,4349,0,other,0,17.00796784479261,16.717242355271175,17.00796784479622,0.02907254895250446
39,E(o),73.289,35.949,2023,54.23,4228,0,other,0,29.15229200251365,24.354215144761152,29.152292002514884,0.47980768577537314
40,E(c),73.365,35.945,2023,67.34,4162,0,other,0,61.28545230450648,59.97691447359186,61.285452304502726,0.13085378309108647
41,E(o),73.269,35.936,2023,11.45,4362,0,other,0,29.15229200251365,24.354215144761152,29.152292002514884,0.47980768577537314
42,E(o),73.274,35.925,2023,11.46,4227,0,other,0,24.572526704879916,20.428713801254045,24.572526704878157,0.4143812903624113
43,E(o),73.342,35.925,2023,11.69,4396,0,other,0,24.282470625289143,24.209780869037182,24.282470625285818,0.007268975624863572
44,E(o),73.371,35.918,2023,12.25,4502,0,other,0,25.518481175853893,25.227687463789067,25.5184811758538,0.029079371206473324
45,O,73.297,35.817,2023,15.36,2981,0,other,0,11.796353349095169,8.373994387412862,11.796353349092886,0.3422358961680024
46,E(c),73.256,35.739,2023,18.92,4016,0,other,0,23.68898030651365,23.980547122287504,23.68898020290764,-0.029156691937986423
47,E(c),73.344,35.675,2023,25.12,3428,0,other,0,21.811116572834933,21.373441766215432,21.811116572833615,0.04376748066181833
48,E(o),73.357,35.652,2023,19.01,3735,0,other,0,19.70144380343279,19.409568199237505,19.701443803428567,0.02918756041910626
49,E(o),73.352,35.643,2023,13.95,3747,0,other,0,19.70144380343279,19.409568199237505,19.701443803428567,0.02918756041910626
50,E(o),73.568,35.904,2023,18.03,4109,0,other,0,25.756708018175633,24.81084453094711,25.756708018175633,0.09458634872285217
51,E(o),73.692,35.889,2023,11.02,3995,0,other,0,9.530340015311928,9.384840589147537,9.530340015311928,0.014549942616439182
52,E(c),73.577,35.88,2023,30.86,4059,0,other,0,28.15783449114347,26.557120210596167,28.15783449114347,0.1600714280547301
53,E(o),73.615,35.877,2023,14.58,3993,0,other,0,11.714710622675131,11.641950157925116,11.714710622675133,0.007276046475001685
54,E(o),73.746,35.865,2023,84.31,4140,0,other,0,75.2475944091597,68.33424152385035,75.2475944091597,0.6913352885309351
55,E(o),73.507,35.783,2023,12.26,3918,0,other,0,9.397382871467313,9.761617757153166,9.397382871467311,-0.0364234885685855
56,E(o),73.572,35.782,2023,22.07,4082,0,other,0,15.662493815648858,16.026780793034355,15.662493815648858,-0.03642869773854969
57,E(c),73.911,35.972,2023,29.25,4426,0,other,0,23.25582330266036,22.819784048062584,23.25582330266036,0.04360392545977767
58,E(o),73.985,35.939,2023,19.57,4258,0,other,0,14.395550523113137,14.977205658368769,14.395550523113137,-0.058165513525563206
59,E(o),73.945,35.917,2023,12.08,4178,0,other,0,12.583278777002016,12.074120817334476,12.583278777002016,0.05091579596675402
60,E(o),73.992,35.916,2023,11.42,4312,0,other,0,13.813934490727986,14.468292586289472,13.813934490727986,-0.06543580955614861
61,E(o),73.922,35.906,2023,15.98,4223,0,other,0,12.583278777002016,12.074120817334476,12.583278777002016,0.05091579596675402
62,E(o),73.763,35.882,2023,40.94,4104,0,other,0,75.2475944091597,68.33424152385035,75.2475944091597,0.6913352885309351
63,E(o),73.929,35.868,2023,17.55,4064,0,other,0,14.33574362102688,13.826361498915453,14.335743621026879,0.050938212211142544
64,E(o),73.869,35.858,2023,15.26,4211,0,other,0,15.284866505779693,12.519043192576481,15.284866505779693,0.2765823313203212
65,E(o),73.775,35.856,2023,28.28,3962,0,other,0,47.52181525732616,44.392549825919595,47.52181525732616,0.3129265431406566
66,E(o),73.877,35.852,2023,19.43,4166,0,other,0,15.284866505779693,12.519043192576481,15.284866505779693,0.2765823313203212
67,E(o),73.799,35.247,2023,17.06,3988,0,other,0,12.980478020429494,10.34036168616857,12.980478020429494,0.26401163342609235
68,E(o),73.958,35.184,2023,10.49,4120,0,other,0,7.85309839633605,7.559521843716348,7.85309839633605,0.02935765526197027
69,E(o),73.985,34.83,2023,20.67,3873,0,other,0,13.931343725879964,13.78395743609629,13.931343725879964,0.014738628978367353
70,E(o),74.019,35.962,2023,15.37,4285,0,other,0,11.193267916906926,11.193269315291898,11.193267916906926,-1.398384972262079e-07
71,E(c),74.083,35.817,2023,16.71,4269,0,other,0,14.344925735750392,14.34492837339126,14.344925735750392,-2.6376408683859155e-07
72,E(o),74.205,35.779,2023,12.36,4304,0,other,0,9.325027679784688,9.616428634197447,9.325027679784688,-0.029140095441275982
73,E(c),74.196,35.773,2023,11.01,4368,0,other,0,9.325027679784688,9.616428634197447,9.325027679784688,-0.029140095441275982
74,E(o),74.243,35.707,2023,15.89,4318,0,other,0,10.500173370969748,10.135584187996274,10.500173370969748,0.036458918297347334
75,E(o),74.23,35.686,2023,14.12,4336,0,other,0,10.500173370969748,10.135584187996274,10.500173370969748,0.036458918297347334
76,E(c),74.177,35.073,2023,11.97,4042,0,other,0,9.113144069448689,9.11314277583277,9.113144069448687,1.2936159166088146e-07
77,E(c),74.294,35.821,2023,12.04,4313,0,other,0,9.902641785946615,9.392944220139062,9.902641785946617,0.05096975658075546
78,E(o),74.256,35.722,2023,10.77,4254,0,other,0,10.500173370969748,10.135584187996274,10.500173370969748,0.036458918297347334
79,E(o),74.676,35.4,2023,13.97,3386,0,other,0,15.664380827785289,12.224057711433069,15.664380827785289,0.34403231163522197
80,E(o),74.941,35.332,2023,11.74,4427,0,other,0,72.98127742730348,29.896050174751085,72.98127742730348,4.30852272525524
81,M(l),74.786,35.33,2023,15.07,3475,0,moraine,0,12.967162503026636,13.333484355857811,12.967162503026637,-0.03663218528311738
82,M(e),74.937,35.315,2023,20.13,4197,0,moraine,0,76.49856032302654,30.11588328549293,76.49856032302654,4.638267703753361
83,E(o),74.961,35.082,2023,30.64,4317,0,other,0,22.853893791329597,23.294819836910232,22.853893791329597,-0.04409260455806354
84,E(o),74.958,35.075,2023,10.45,4413,0,other,0,22.853893791329597,23.294819836910232,22.853893791329597,-0.04409260455806354
85,E(o),74.1,34.962,2023,29.65,3603,0,other,0,23.991268436690195,23.991271099162308,23.991268436690195,-2.662472113001968e-07
86,E(c),74.138,34.948,2023,20.03,4011,0,other,0,16.487673886410068,15.972424064490612,16.487673886410068,0.05152498219194559
87,E(c),74.155,34.926,2023,21.64,3926,0,other,0,16.050301201888324,16.197562749379912,16.050301201888324,-0.014726154749158837
88,E(c),74.048,34.902,2023,21.58,3896,0,other,0,13.182803580734628,10.973403383104325,13.182803580734628,0.22094001976303038
89,E(c),74.077,34.858,2023,20.51,3680,0,other,0,17.095342258200127,17.16902799063601,17.095342258200127,-0.007368573243588372
90,E(c),74.062,34.829,2023,93.9,3681,0,other,0,78.577048011921,77.61873268094597,78.577048011921,0.09583153309750259
91,E(c),74.477,34.876,2023,12.31,3592,0,other,0,11.419881420568636,9.135113991942896,11.419881420568636,0.22847674286257397
92,M(e),74.521,34.92,2023,60.6,4041,0,moraine,0,71.20158508318278,70.46524882082912,71.20158508318278,0.07363362623536603
93,E(c),74.68,34.908,2023,23.48,3864,0,other,0,22.16606005435013,22.607920003162413,22.166060054350126,-0.04418599488122865
94,E(c),74.523,34.849,2023,22.54,4016,0,other,0,27.776484805527986,17.981455746765864,27.776484805527982,0.9795029058762118
95,E(c),74.676,34.84,2023,10.66,3868,0,other,0,11.421669877699024,8.033618522260204,11.421669877699024,0.33880513554388203
96,E(o),74.787,34.846,2023,14.18,3883,0,other,0,41.27094307515965,40.018083120775934,41.27094307515965,0.1252859954383716
97,E(c),74.809,34.845,2023,50.44,3992,0,other,0,41.27094307515965,40.018083120775934,41.27094307515965,0.1252859954383716
98,E(c),74.761,34.84,2023,25.43,3979,0,other,0,19.162748112893496,19.310172921728118,19.162748112893496,-0.01474248088346215
99,E(c),74.819,34.548,2023,31.47,3872,0,other,0,25.66871635014161,26.112468962867716,25.66871635014161,-0.04437526127261045
100,E(c),74.828,34.537,2023,30.51,3922,0,other,0,25.66871635014161,26.11246896287976,25.66871635015083,-0.04437526127289289
101,E(o),74.921,34.493,2023,38.39,3881,0,other,0,33.971502111132644,33.23138281649701,33.97150211113922,0.07401192946422128
102,E(c),74.906,34.489,2023,11.89,4097,0,other,0,33.971502111132644,33.23138281649701,33.97150211113922,0.07401192946422128
103,E(o),74.913,34.47,2023,10.44,3852,0,other,0,33.823503865757274,33.009378299118985,33.823503865769126,0.08141255666501408
104,M(o),74.985,34.457,2023,10.33,3748,0,moraine,0,7.034169860541034,5.923535571883572,7.034169860539188,0.1110634288655616
105,E(o),74.932,34.452,2023,12.3,3889,0,other,0,151.3167538772035,148.1318881059131,151.31675387720213,0.3184865771289026
106,E(c),74.909,34.448,2023,15.48,3979,0,other,0,130.429482111346,127.98530530608525,130.4294821113418,0.24441768052565466
107,E(c),74.892,34.444,2023,33.95,3846,0,other,0,60.659184856222886,59.62227539456539,60.659184856214374,0.10369094616489818
108,E(c),74.924,34.432,2023,161.04,3571,0,other,0,151.3167538772035,148.1318881059131,151.31675387720213,0.3184865771289026
109,E(o),74.936,34.418,2023,36.65,3503,0,other,0,151.3167538772035,148.1318881059131,151.31675387720213,0.3184865771289026
110,E(o),74.874,34.392,2023,27.31,3556,0,other,0,20.970635871104506,20.377813243824388,20.970635871107575,0.05928226272831871
111,E(c),74.944,34.385,2023,11.22,3722,0,other,0,8.225926617676498,7.63306456872845,8.225926617677093,0.05928620489486427
112,E(o),74.876,34.38,2023,11.58,3738,0,other,0,20.970635871104506,20.377813243824388,20.970635871107575,0.05928226272831871
113,E(c),74.417,33.866,2023,13.62,3968,0,other,0,19.242714851575553,18.496877724302006,19.24271485157376,0.0745837127271752
114,E(o),74.428,33.841,2023,45.46,3954,0,other,0,39.0083365221193,38.18790617241893,39.0083365221294,0.08204303497104704
115,E(o),74.435,33.829,2023,15.18,4043,0,other,0,39.0083365221193,38.18790617241893,39.0083365221294,0.08204303497104704
116,E(c),74.451,33.82,2023,29.43,3997,0,other,0,24.69388695649548,24.693853221795404,24.69388695649452,3.373469911593929e-06
117,E(o),74.526,33.74,2023,10.16,4018,0,other,0,8.961422347523568,6.347256116242853,8.961422347524213,0.26141662312813596
118,E(o),74.523,33.735,2023,13.69,4064,0,other,0,8.961422347523568,6.347256116242853,8.961422347524213,0.26141662312813596
119,E(o),74.526,33.559,2023,22.97,3851,0,other,0,18.18408372065635,14.81665429543166,18.18408372065884,0.3367429425227181
120,E(o),74.543,33.55,2023,16.04,3912,0,other,0,19.53591105444801,14.81665429543166,19.53591105446507,0.47192567590334117
121,E(o),74.523,33.54,2023,10.32,3812,0,other,0,18.18408372065635,14.81665429543166,18.18408372065884,0.3367429425227181
122,E(o),74.565,33.54,2023,21.73,3967,0,other,0,37.13270683404131,27.101014118059226,37.13270683404777,1.003169271598854
123,E(o),74.555,33.536,2023,31.85,4006,0,other,0,19.53591105444801,9.20614737311388,19.53591105446507,1.032976368135119
124,E(o),74.574,33.53,2023,12.27,3955,0,other,0,61.38985386785405,50.085405672955716,61.389853867862584,1.1304448194906869
125,E(c),74.561,33.528,2023,11.15,4096,0,other,0,61.38985386785405,50.085405672955716,61.389853867862584,1.1304448194906869
126,E(o),74.605,33.522,2023,12.33,3844,0,other,0,61.38985386785405,50.085405672955716,61.389853867862584,1.1304448194906869
127,E(o),74.584,33.519,2023,70.83,3934,0,other,0,61.38985386785405,50.085405672955716,61.389853867862584,1.1304448194906869
128,E(o),74.564,33.51,2023,25.15,3909,0,other,0,61.38985386785405,50.085405672955716,61.389853867862584,1.1304448194906869
129,E(o),74.625,33.509,2023,33.7,3937,0,other,0,31.372284091499857,31.297403087373333,31.372284091503897,0.007488100413056387
130,E(c),74.594,33.505,2023,11.35,4089,0,other,0,61.38985386785405,50.085405672955716,61.389853867862584,1.1304448194906869
131,E(o),74.565,33.496,2023,11.18,3812,0,other,0,25.82939994758409,23.957700391637815,25.82939994758704,0.1871699555949224
132,E(c),74.614,33.444,2023,14.88,3580,0,other,0,2.1730097615724735,1.947886909383647,2.1730097615703885,0.022512285218674145
133,O,74.769,33.512,2023,128.54,3486,0,other,0,123.0138683498062,131.32482204105258,123.01386834980845,-0.8310953691244137
134,E(o),74.85,33.503,2023,14.64,3623,0,other,0,38.04594635515717,32.88022304420571,38.04594635515262,0.5165723310946916
135,E(o),75.194,35.264,2023,19.03,4551,0,other,0,17.010564403715012,17.083891798054562,17.01056440371218,-0.007332739434238178
136,E(o),75.182,35.231,2023,11.26,4547,0,other,0,8.508717238772846,8.068622233309503,8.508717238772846,0.044009500546334304
137,E(o),75.228,35.119,2023,17.81,4586,0,other,0,13.074412768064189,12.780597652208442,13.074412768052797,0.029381511584435492
138,E(c),75.198,35.049,2023,12.71,4398,0,other,0,9.630478148546974,8.968839448648009,9.630478148545052,0.06616386998970433
139,E(o),75.001,35.016,2023,10.87,3931,0,other,0,9.854935346869974,8.82531468852749,9.854935346867563,0.10296206583400735
140,E(o),75.422,35.182,2023,14.33,4530,0,other,0,12.403687666400504,11.81653902843734,12.403687666408398,0.05871486379710582
141,E(o),75.261,35.143,2023,11.84,4659,0,other,0,22.53771315857055,9.692740522303723,22.537713158564486,1.2844972636260763
142,E(o),75.321,35.132,2023,19.58,4526,0,other,0,16.15672988019728,16.450508410556218,16.156729880200842,-0.029377853035537527
143,E(o),75.521,35.172,2023,10.3,4551,0,other,0,8.588325962441528,8.881945177664585,8.58832596244294,-0.029361921522164457
144,E(o),75.579,35.096,2023,10.98,4375,0,other,0,8.96368537735242,8.96368537736792,8.96368537736792,0.0
145,E(o),75.725,35.027,2023,12.92,4647,0,other,0,7.500571838717643,6.9122882591803645,7.500571838717857,0.05882835795374923
146,O,75.236,34.991,2023,129.62,4138,0,other,0,115.64745213580038,114.61752291794775,115.64745213578563,0.1029929217837875
147,E(c),75.051,34.972,2023,14.29,4265,0,other,0,11.847057791365318,11.184797341109157,11.847057791368403,0.06622604502592466
148,E(o),75.25,34.922,2023,14.22,4152,0,other,0,9.571783824605072,8.246454762329668,9.571783824608191,0.13253290622785235
149,E(o),75.177,34.92,2023,14.54,4257,0,other,0,11.633746555606033,11.48649139888964,11.63374655560317,0.014725515671352874
150,E(o),75.189,34.919,2023,14.34,4225,0,other,0,11.633746555606033,11.48649139888964,11.63374655560317,0.014725515671352874
151,E(o),75.137,34.697,2023,64.95,4103,0,other,0,57.36649651851299,56.55439456186107,57.36649651850908,0.08121019566480073
152,E(o),75.14,34.684,2023,21.41,4133,0,other,0,57.36649651851299,56.55439456186107,57.36649651850908,0.08121019566480073
153,E(o),75.179,34.666,2023,74.54,4234,0,other,0,65.65952711489385,66.02882970346971,65.65952711490058,-0.0369302588569127
154,E(c),75.058,34.422,2023,40.12,3570,0,other,0,36.14862774040238,34.963422263415,36.14862774041228,0.11852054769972824
155,E(c),75.103,34.397,2023,29.55,3812,0,other,0,39.34977593654993,39.86850848106367,39.34977593655088,-0.051873254451279396
156,E(c),75.119,34.388,2023,47.25,3663,0,other,0,39.34977593654993,39.86850848106367,39.34977593655088,-0.051873254451279396
157,E(o),75.147,34.207,2023,10.35,3699,0,other,0,6.906591341366802,4.604374756812378,6.9065913413667355,0.23022165845543574
158,E(o),75.205,34.203,2023,15.92,3682,0,other,0,11.585917987040617,11.363145683212514,11.585917987052104,0.02227723038395908
159,E(o),75.113,34.156,2023,10.27,3941,0,other,0,36.11962177232615,27.647059175945465,36.11962177231868,0.8472562596373215
160,E(o),75.11,34.144,2023,43.47,3810,0,other,0,36.11962177232615,27.647059175945465,36.11962177231868,0.8472562596373215
161,E(c),75.148,34.14,2023,82.93,3780,0,other,0,71.79724534614945,64.81067311429103,71.79724534613581,0.6986572231844775
162,E(o),75.161,34.093,2023,17.8,3919,0,other,0,12.56761725946506,11.898338920241093,12.567617259458043,0.06692783392169499
163,E(o),75.216,34.063,2023,13.36,3691,0,other,0,9.22453425166418,6.323244719137503,9.224534251658815,0.29012895325213117
164,E(c),75.382,34.825,2023,22.94,4315,0,other,0,18.20796653017041,18.65027405451824,18.207966530178506,-0.04423075243397321
165,E(o),75.48,34.775,2023,10.8,4626,0,other,0,8.998811340659838,7.523577868420645,8.998811340660389,0.14752334722397437
166,E(o),75.275,34.234,2023,18.23,3830,0,other,0,14.476938405188095,14.773905933036016,14.476938405183446,-0.02969675278525692
167,E(c),75.321,34.193,2023,10.81,3734,0,other,0,17.384569787978627,34.99450509850169,17.384569779632216,-1.7609935318869474
168,E(c),75.373,34.184,2023,16.8,4276,0,other,0,16.491237412537682,16.714113047566272,16.491237412545512,-0.022287563502075967
169,E(o),75.377,34.139,2023,33.45,3709,0,other,0,27.202939976178698,27.202942109413353,27.202939976185803,-2.1332275501606546e-07
170,O,75.498,34.094,2023,52.27,3575,0,other,0,52.35270703218281,51.60906476097744,52.35270703218488,0.07436422712074417
171,E(o),75.475,34.067,2023,17.85,3724,0,other,0,15.249575477279723,14.7288545476434,15.249575477284097,0.05207209296406976
172,E(o),75.553,34.987,2023,17.86,4269,0,other,0,14.125647322798644,13.757792233430301,14.125647322798788,0.03678550893684864
173,E(o),75.545,34.965,2023,13.7,4412,0,other,0,14.125647322798644,13.757792233430301,14.125647322798788,0.03678550893684864
174,E(o),75.592,34.947,2023,24.89,4558,0,other,0,20.462739459141304,20.241922397717087,20.462739494892283,0.022081709717519615
175,E(o),75.617,34.896,2023,11.97,4547,0,other,0,12.15270571339669,11.563488531785799,12.152705713395608,0.05892171816098095
176,E(o),75.713,34.893,2023,19.39,4589,0,other,0,15.09925617287771,13.77344669461028,15.099256172873641,0.1325809478263361
177,E(o),75.68,34.883,2023,13.31,4627,0,other,0,12.522960900599251,12.96493770980823,12.522960900591181,-0.04419768092170493
178,E(o),75.716,34.873,2023,15.83,4664,0,other,0,15.09925617287771,13.77344669461028,15.099256172873641,0.1325809478263361
179,E(o),75.545,34.808,2023,12.86,4687,0,other,0,13.64036124154306,12.09197240907665,13.640361241538494,0.15483888324618444
180,E(o),75.649,34.491,2023,15.37,4521,0,other,0,10.954007056566716,11.102032770322078,10.954007056566233,-0.014802571375584429
181,E(o),75.763,34.947,2023,25.14,4778,0,other,0,21.346016656522647,21.8612775286563,21.34601665653102,-0.05152608721252783
182,E(o),75.892,34.888,2023,10.29,4882,0,other,0,16.428074616776385,16.05973563321044,16.428074616783217,0.03683389835727766
183,E(o),75.871,34.878,2023,18.96,4687,0,other,0,16.428074616776385,16.05973563321044,16.428074616783217,0.03683389835727766
184,E(o),75.942,34.859,2023,13.73,4796,0,other,0,11.568669538688532,10.684420885575914,11.56866953868922,0.08842486531133051
185,M(e),75.844,34.04,2023,25.26,4094,0,moraine,0,91.2530018726778,71.29998886309305,91.25300187681833,1.9953013013725283
186,E(o),75.378,33.953,2023,15.37,3644,0,other,0,15.791393535965756,15.791379181805668,15.791393535969718,1.4354164049379391e-06
187,E(c),75.411,33.952,2023,26.79,4082,0,other,0,20.558889844851603,20.26097991742459,20.55888984484772,0.029790992742313095
188,E(c),75.389,33.929,2023,19.34,4048,0,other,0,13.10986402723215,13.039111085260036,13.10986402723775,0.00707529419777142
189,E(o),75.47,33.754,2023,10.88,3921,0,other,0,2.6131792922109396,4.181070454728963,2.6131792922109396,-0.15678911625180234
190,E(c),75.537,33.619,2023,10.85,3852,0,other,0,7.029252907761173,8.749190883357276,7.029252907761173,-0.17199379755961025
191,M(l),76.03,35.954,2023,10.62,4276,0,moraine,0,26.529612776114035,21.078157419067672,26.529612776124146,0.5451455357056474
192,O,76.205,35.171,2023,30.72,3301,0,other,0,24.07685128844097,24.297056255939932,24.076851288437883,-0.0220204967502049
193,E(o),76.234,35.097,2023,22.96,4512,0,other,0,21.161119938861933,13.592536912559071,21.161119938858402,0.7568583026299331
194,M(l),76.41,35.73,2023,13.28,4161,0,moraine,0,521.1557923802166,225.43948585499538,521.1557923891613,29.571630653416594
195,M(l),76.375,35.72,2023,12.14,4140,0,moraine,0,336.5923816377833,41.70772164695629,336.5923816408229,29.488465999386666
196,M(e),76.252,35.092,2023,24.01,4533,0,moraine,0,21.161119938861933,13.592536912559071,21.161119938858402,0.7568583026299331
