Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr
0,M(e),72.901,36.412,2023,11.23,4256,0,moraine,0,48.11615527244123,23.047074939050084,48.11615527244123,5.013816066678229
1,O,73.048,36.263,2023,21.68,4618,0,other,0,18.17376012802741,18.24616181575443,18.17376012802741,-0.014480337545403899
2,M(e),73.407,36.642,2023,14.06,2748,0,moraine,0,14.698710665884716,27.31055986155295,14.698710665884716,-2.5223698391336464
3,E(o),73.384,36.131,2023,23.35,4503,0,other,0,9.501434972289813,8.268018581337753,9.501434972289813,0.24668327819041203
4,E(o),73.423,36.116,2023,21.76,4437,0,other,0,10.518271880418554,9.50344774518571,10.518271880418554,0.20296482704656887
5,E(o),73.449,36.112,2023,11.22,4427,0,other,0,16.97645279782551,16.686262692719374,16.97645279782551,0.058038021021226884
6,E(o),73.465,36.108,2023,21.58,4488,0,other,0,16.97645279782551,16.686262692719374,16.97645279782551,0.058038021021226884
7,E(o),73.461,36.086,2023,13.98,4577,0,other,0,16.97645279782551,16.686262692719374,16.97645279782551,0.058038021021226884
8,E(o),73.328,36.024,2023,10.65,4559,0,other,0,8.27944835057171,8.424706147372044,8.27944835057171,-0.029051559360066648
9,E(o),73.312,36.0,2023,13.08,4615,0,other,0,9.952886005847317,8.427225352559999,9.952886005847317,0.3051321306574636
10,O,73.704,36.879,2023,262.57,4286,0,other,0,246.952537678805,247.3116879622983,246.952537678805,-0.07183005669866134
11,O,73.646,36.644,2023,105.07,3821,0,other,0,104.68999591648486,103.897292580322,104.68999591648486,0.15854066723257176
12,E(o),73.566,36.431,2023,12.25,4030,0,other,0,11.704408994481495,11.848905786684877,11.704408994481497,-0.028899358440676082
13,E(o),73.514,36.351,2023,17.25,4420,0,other,0,12.50868988588592,15.405097029668806,12.50868988588592,-0.5792814287565772
14,E(o),73.616,36.154,2023,13.83,4545,0,other,0,16.025743061623555,14.285403219210595,16.025743061623555,0.3480679684825919
15,E(o),73.639,36.145,2023,17.96,4484,0,other,0,16.025743061623555,14.285403219210595,16.025743061623555,0.3480679684825919
16,E(o),73.505,36.129,2023,23.11,4482,0,other,0,19.583140355536163,19.147964925849305,19.583140355536163,0.08703508593737155
17,E(c),73.668,36.096,2023,10.48,4423,0,other,0,25.618998220467393,25.328704680499182,25.618998220467393,0.05805870799364214
18,O,73.646,36.08,2023,28.87,4344,0,other,0,25.764152955161357,25.401282169702778,25.764152955161357,0.07257415709171582
19,E(o),73.592,36.039,2023,18.87,4274,0,other,0,15.974919654606154,16.04753161056693,15.974919654606154,-0.014522391192155482
20,E(o),73.714,36.03,2023,10.47,4320,0,other,0,9.585979053092249,10.021699876388764,9.585979053092249,-0.08714416465930305
21,E(o),73.558,36.011,2023,24.48,4232,0,other,0,18.304954662970047,18.0870695995747,18.304954662970047,0.04357701267906933
22,O,73.955,36.265,2023,27.89,3706,0,other,0,28.52157186111091,26.78960905955147,28.521571861110914,0.3463925603118888
23,E(o),74.084,36.239,2023,20.57,3453,0,other,0,93.9566508144551,16.006514236825,93.9566508144551,15.59002731552602
24,I(s),75.136,36.137,2023,24.88,3697,0,ice,1,4.279136395896718,3.4822212756101383,4.279136395896718,0.15938302405731603
25,I(s),75.14,36.126,2023,12.99,3725,0,ice,1,53.25340366688081,32.71991453753067,53.25340366688081,4.106697825870027
