,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha
0,M(e),72.901,36.412,2019,11.23,4256,0,moraine,0,19.373350748583807
1,O,73.048,36.263,2019,21.68,4618,0,other,0,18.463382819678113
2,M(e),73.407,36.642,2019,14.06,2748,0,moraine,0,14.050228274571767
3,E(o),73.384,36.131,2019,23.35,4503,0,other,0,8.558557764148397
4,E(o),73.423,36.116,2019,21.76,4437,0,other,0,11.896604650219809
5,E(o),73.449,36.112,2019,11.22,4427,0,other,0,16.831355285899498
6,E(o),73.465,36.108,2019,21.58,4488,0,other,0,16.831355285899498
7,E(o),73.461,36.086,2019,13.98,4577,0,other,0,16.831355285899498
8,E(o),73.328,36.024,2019,10.65,4559,0,other,0,8.715218181925852
9,E(o),73.312,36.0,2019,13.08,4615,0,other,0,9.153732238750056
10,O,73.704,36.879,2019,262.57,4286,0,other,0,248.891886974619
11,O,73.646,36.644,2019,105.07,3821,0,other,0,101.3034587265208
12,E(o),73.566,36.431,2019,12.25,4030,0,other,0,12.065646345248984
13,E(o),73.514,36.351,2019,17.25,4420,0,other,0,5.42500997052554
14,E(o),73.616,36.154,2019,13.83,4545,0,other,0,15.953243155629263
15,E(o),73.639,36.145,2019,17.96,4484,0,other,0,15.953243155629263
16,E(o),73.505,36.129,2019,23.11,4482,0,other,0,19.510618594329955
17,E(c),73.668,36.096,2019,10.48,4423,0,other,0,25.473854186608442
18,O,73.646,36.08,2019,28.87,4344,0,other,0,25.69158243489396
19,E(o),73.592,36.039,2019,18.87,4274,0,other,0,16.192760693050722
20,E(o),73.714,36.03,2019,10.47,4320,0,other,0,10.530045887913085
21,E(o),73.558,36.011,2019,24.48,4232,0,other,0,19.903051598783588
22,O,73.955,36.265,2019,27.89,3706,0,other,0,28.81691921198553
23,E(o),74.084,36.239,2019,20.57,3453,0,other,0,14.847648677941113
24,I(s),75.136,36.137,2019,24.88,3697,0,ice,1,2.0312970770547794
25,I(s),75.14,36.126,2019,12.99,3725,0,ice,1,28.149387709623674
26,E(o),75.686,36.44,2019,28.09,4709,0,other,0,24.417787992652066
27,O,72.613,35.994,2019,201.58,3622,0,other,0,201.97836879537732
28,O,72.595,35.944,2019,96.35,3761,0,other,0,101.41653825411638
29,E(o),72.94,35.869,2019,20.01,4378,0,other,0,19.211140492718854
30,E(v),72.98,35.855,2019,13.35,4325,0,other,0,15.942889847227299
31,O,73.064,35.92,2019,21.34,4303,0,other,0,22.034868121758844
32,E(o),73.155,35.906,2019,24.24,4328,0,other,0,23.85723477964339
33,E(o),73.073,35.871,2019,15.95,4617,0,other,0,13.829819741683549
34,E(o),73.228,35.829,2019,12.38,4195,0,other,0,21.770078584378663
35,E(c),73.211,35.825,2019,26.44,4271,0,other,0,21.770078584378663
36,E(o),73.216,35.73,2019,26.36,3970,0,other,0,23.472775801858887
37,E(o),73.313,35.987,2019,10.23,4583,0,other,0,9.153732238750056
38,E(o),73.397,35.962,2019,18.84,4349,0,other,0,17.51676543332589
39,E(o),73.289,35.949,2019,54.23,4228,0,other,0,29.806543229346257
40,E(c),73.365,35.945,2019,67.34,4162,0,other,0,62.376020352558875
41,E(o),73.269,35.936,2019,11.45,4362,0,other,0,29.806543229346257
42,E(o),73.274,35.925,2019,11.46,4227,0,other,0,24.64522240655548
43,E(o),73.342,35.925,2019,11.69,4396,0,other,0,25.51843503104625
44,E(o),73.371,35.918,2019,12.25,4502,0,other,0,26.75444558160897
45,O,73.297,35.817,2019,15.36,2981,0,other,0,12.014804140820448
