,Elevation_m,GLOF,Lake_type,Lake_type_simplified,Latitude,Longitude,Year_final,id,is_supraglacial,Lake_area_calculated_ha,Lake_area_ha
0,3466,1,water pocket,other,42.522,74.609,1984,0,0,,
1,3269,1,ice,ice,42.207,79.846,1984,1,0,,
2,4779,1,ice,ice,35.677,77.193,1984,2,0,,
3,4594,1,water pocket,other,29.307,83.967,1985,3,0,,
4,3301,1,water pocket,other,36.039,74.633,1985,4,0,,
5,3627,1,moraine,moraine,41.975,76.867,1985,5,0,,
6,4368,1,moraine,moraine,27.874,86.586,1985,6,0,,
7,3269,1,ice,ice,42.207,79.846,1985,7,0,,
8,2501,1,water pocket,other,36.414,74.879,1986,8,0,,
9,4437,1,water pocket,other,27.586,88.027,1986,9,0,,
10,3423,1,moraine,moraine,42.923,76.602,1986,10,0,,
11,3269,1,ice,ice,42.207,79.846,1986,11,0,,
12,4779,1,ice,ice,35.677,77.193,1986,12,0,,
13,3269,1,ice,ice,42.207,79.846,1986,13,0,,
14,4779,1,ice,ice,35.677,77.193,1987,14,0,,
15,3269,1,ice,ice,42.207,79.846,1987,15,0,,
16,4589,1,water pocket,other,31.295,78.332,1988,16,0,,
17,3466,1,moraine,moraine,42.522,74.609,1988,17,0,,
18,3343,1,moraine,moraine,42.505,74.505,1988,18,0,,
19,5372,1,moraine,moraine,29.288,83.868,1988,19,0,,
20,2992,1,ice,ice,38.632,72.146,1988,20,0,,
21,3581,1,moraine,moraine,42.537,74.431,1988,21,0,,
22,3423,1,moraine,moraine,42.923,76.602,1988,22,0,,
23,3816,1,moraine,moraine,29.466,96.501,1988,23,0,39.48224785238666,46.4628
24,5300,1,moraine/bedrock,moraine,29.554,92.785,1988,24,0,1.2496670301064876,1.4375
25,3269,1,ice,ice,42.207,79.846,1988,25,0,,
26,3269,1,ice,ice,42.207,79.846,1989,26,0,,371.073
27,3269,1,ice,ice,42.207,79.846,1989,27,0,,
28,3285,1,ice,ice,36.75,74.01,1990,28,0,112.86324856398471,
29,3634,1,ice,ice,35.496,76.27,1990,29,0,163.5594107701218,
30,4278,1,ice,ice,35.253,77.311,1990,30,0,116.53553645936563,43.0
31,2413,1,moraine,moraine,43.171,77.295,1990,31,0,,
32,3269,1,ice,ice,42.207,79.846,1990,32,0,343.4917595497103,273.983
33,5422,1,moraine,moraine,27.965,88.895,1990,33,0,28.314803870102054,40.4375
34,4706,1,moraine,moraine,28.087,90.326,1990,34,0,137.46407603982811,107.5
35,4557,1,water pocket,other,27.877,86.461,1991,35,0,53.189577362696376,
36,3269,1,ice,ice,42.207,79.846,1991,36,0,343.4917595497103,97.1204
37,4124,1,water pocket,other,35.93,74.609,1992,37,0,10.905839352488773,
38,2648,1,water pocket,other,36.043,74.571,1992,38,0,,
39,3423,1,moraine,moraine,42.923,76.602,1992,39,0,6.641361243816792,
40,3269,1,ice,ice,42.207,79.846,1992,40,0,283.83073842078556,428.9868
41,5117,1,ice,ice,29.748,96.538,1992,41,0,53.25631686653518,52.5625
42,5194,1,moraine,moraine,27.929,86.447,1992,42,0,302.6159034440116,24.2022
43,4715,1,moraine,moraine,27.557,88.111,1992,43,0,10.667322214308657,7.6875
44,3627,1,moraine,moraine,42.528,74.54,1993,44,0,36.58949227188008,
45,3581,1,moraine,moraine,42.537,74.431,1993,45,0,0.5293363219948779,
46,3551,1,ice,ice,36.84,73.92,1993,46,0,52.180656919216666,
47,3634,1,ice,ice,35.496,76.27,1993,47,0,0.2193932690453487,2.8311
48,3466,1,water pocket,other,42.522,74.609,1993,48,0,83.33647789930858,
49,4278,1,ice,ice,35.253,77.311,1993,49,0,1.9060637591359066,26.0
50,3415,1,moraine,moraine,43.146,77.271,1993,50,0,0.7862521003400469,
51,4574,1,moraine,moraine,36.033,73.197,1993,51,0,38.48798521714529,1.0625
52,3269,1,ice,ice,42.207,79.846,1993,52,0,19.15788572354551,307.8549
53,5302,1,moraine,moraine,30.356,82.118,1994,53,0,17.902470307803707,18.4375
54,2857,1,ice,ice,36.62,74.07,1994,54,0,0.144143080179491,
55,4762,1,moraine,moraine,36.027,73.196,1994,55,0,3.9941054595612515,
56,3584,1,moraine,moraine,42.97,77.03,1994,56,0,,
57,3269,1,ice,ice,42.207,79.846,1994,57,0,255.90156838724906,148.2415
58,4513,1,moraine,moraine,28.092,90.3,1994,58,0,24.399810180007837,119.4716
59,5206,1,moraine,moraine,28.802,91.937,1995,59,0,10.308361841841451,16.5867
60,4735,1,moraine,moraine,28.662,85.37,1995,60,0,6.776400653457245,10.6232
61,3930,1,moraine,moraine,43.0,77.1,1995,61,0,0.1970399153203944,
62,3269,1,ice,ice,42.207,79.846,1995,62,0,251.64477126048612,
63,5202,1,moraine,moraine,28.663,85.478,1995,63,0,20.490726987090863,11.5625
64,2941,1,ice,ice,36.5,75.22,1996,64,0,1.7328530072273267,
65,3316,1,unknown,other,43.08,77.15,1996,65,0,8.394317754878163,
66,5009,1,moraine,moraine,27.705,92.387,1996,66,0,5.6447845269314225,5.0625
