,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m
0,M(e),72.901,36.412,2019,11.23,4256,0,moraine,0,19.373350748583807,14.746083962810548,19.373350748583807,0.9254533571546516,735.5278798114812,0.0,1,2,0.0,4817.0
1,O,73.048,36.263,2019,21.68,4618,0,other,0,18.463382819678113,29.25684795440522,18.463382819678113,-2.1586930269454214,12.913846245978808,-0.4886178411743526,0,0,726.5391684159277,4619.0
2,M(e),73.407,36.642,2019,14.06,2748,0,moraine,0,14.050228274571769,36.03779669667752,14.050228274571769,-4.397513684421151,4204.096643781879,0.0,1,1,0.0,2767.0
3,E(o),73.384,36.131,2019,23.35,4503,0,other,0,8.558557764148397,7.979207634261091,8.558557764148397,0.1158700259774612,12.377344008779678,-0.205894438112054,0,0,607.1072203124361,4513.0
4,E(o),73.423,36.116,2019,21.76,4437,0,other,0,11.896604650219809,18.498022886757145,11.896604650219809,-1.3202836473074673,31.006463174705488,-0.3156036509973643,0,0,703.4139158353843,4447.0
5,E(o),73.449,36.112,2019,11.22,4427,0,other,0,16.831355285899498,18.498022886757145,16.831355285899498,-0.3333335201715293,10.582140867962451,-0.29408754047890034,0,0,567.8581273047221,4498.0
6,E(o),73.465,36.108,2019,21.58,4488,0,other,0,16.831355285899498,12.98624495750675,16.831355285899498,0.7690220656785496,10.582140867962451,-0.29408754047890034,0,0,567.8581273047221,4498.0
7,E(o),73.461,36.086,2019,13.98,4577,0,other,0,16.831355285899498,12.98624495750675,16.831355285899498,0.7690220656785496,10.582140867962451,-0.29408754047890034,0,0,567.8581273047221,4498.0
8,E(o),73.328,36.024,2019,10.65,4559,0,other,0,8.715218181925852,7.553186529071671,8.715218181925852,0.2324063305708362,11.846031037617282,-0.14331738184998283,0,0,760.5497574194841,4572.0
9,E(o),73.312,36.0,2019,13.08,4615,0,other,0,9.153732238750056,8.935813526319729,9.153732238750056,0.0435837424860654,2.851505278860355,-0.16039347590586225,0,0,505.0080718217013,4616.0
10,O,73.704,36.879,2019,262.57,4286,0,other,0,248.891886974619,205.21910802686943,248.891886974619,8.734555789549916,3.2425740470369626,-0.1722461136275998,0,0,516.7025143593087,4297.0
11,O,73.646,36.644,2019,105.07,3821,0,other,0,101.3034587265208,103.32097710193794,101.3034587265208,-0.403503675083428,16.861107563391467,-0.38145393418563556,0,0,1129.8874159474594,3843.0
12,E(o),73.566,36.431,2019,12.25,4030,0,other,0,12.065646345248984,14.884753573643232,12.065646345248984,-0.5638214456788496,12.849608171262208,-0.5479100838480049,0,0,715.4458579169794,4041.0
13,E(o),73.514,36.351,2019,17.25,4420,0,other,0,5.42500997052554,14.754179672149842,5.42500997052554,-1.8658339403248605,1.6012837347651077,-0.20918173181965447,0,0,95.61064355869733,4815.0
14,E(o),73.616,36.154,2019,13.83,4545,0,other,0,15.953243155629265,11.166036527337974,15.953243155629265,0.9574413256582576,34.49847256271775,-0.16805149329602564,0,0,898.5341161712313,4495.0
15,E(o),73.639,36.145,2019,17.96,4484,0,other,0,15.953243155629265,11.166036527337974,15.953243155629265,0.9574413256582576,34.49847256271775,-0.16805149329602564,0,0,898.5341161712313,4495.0
16,E(o),73.505,36.129,2019,23.11,4482,0,other,0,19.510618594329955,12.26002681814094,19.510618594329955,1.450118355237803,11.292430072700725,-0.14163456856194864,0,0,1235.5740676645466,4472.0
17,E(c),73.668,36.096,2019,10.48,4423,0,other,0,25.47385418660844,24.67552594382385,25.47385418660844,0.1596656485569184,43.52713651098205,-0.18187422829648964,0,0,516.840680949926,4344.0
18,O,73.646,36.08,2019,28.87,4344,0,other,0,25.69158243489396,24.748103270552967,25.69158243489396,0.1886958328681984,43.52713651098205,-0.181874198778421,0,0,516.840764832845,4344.0
19,E(o),73.592,36.039,2019,18.87,4274,0,other,0,16.192760693050722,14.014351239565393,16.192760693050722,0.4356818906970659,19.33543324605516,-0.1869315652305471,0,0,791.7335941496457,4288.0
20,E(o),73.714,36.03,2019,10.47,4320,0,other,0,10.530045887913085,9.513351237811062,10.530045887913085,0.2033389300204046,15.338989952109017,-0.25022370074232403,0,0,811.2740695536505,4327.0
21,E(o),73.558,36.011,2019,24.48,4232,0,other,0,19.903051598783588,16.12167915018194,19.903051598783588,0.7562744897203295,2.572039715360479,-0.1731276951910106,0,0,283.02808482454896,4242.0
22,O,73.955,36.265,2019,27.89,3706,0,other,0,28.81691921198553,27.079224804923307,28.81691921198553,0.347538881412445,260.69858100653323,-0.2922775434085588,0,0,1512.2612392500928,3726.0
23,E(o),74.084,36.239,2019,20.57,3453,0,other,0,14.847648677941113,12.097097776617538,14.847648677941113,0.5501101802647149,67.03188670078728,-0.4228002988892944,0,0,875.1176405787746,3459.0
24,I(s),75.136,36.137,2019,24.88,3697,0,ice,1,2.0312970770547794,3.5538739613156234,2.0312970770547794,-0.3045153768521688,169419.58737845288,0.0,1,1,0.0,3990.0
25,I(s),75.14,36.126,2019,12.99,3725,0,ice,1,28.14938770962367,11.75271501962403,28.14938770962367,3.2793345379999286,169419.58737845288,0.0,1,1,0.0,4265.0
26,E(o),75.686,36.44,2019,28.09,4709,0,other,0,24.417787992652062,23.62312076707244,24.417787992652062,0.1589334451159253,13.415409093542479,-0.4646374453989406,0,0,1584.0307476037922,4718.0
27,O,72.613,35.994,2019,201.58,3622,0,other,0,201.97836879537732,197.6195072809349,201.97836879537732,0.8717723028884847,27.678360955535357,-0.3448789214058023,0,0,2780.6860334951907,3634.0
28,O,72.595,35.944,2019,96.35,3761,0,other,0,101.41653825411638,96.25448117672104,101.41653825411638,1.0324114154790691,288.7380020960196,-0.34789902290337327,0,0,1532.053742352813,3775.0
29,E(o),72.94,35.869,2019,20.01,4378,0,other,0,19.211140492718854,17.464659239985526,19.211140492718854,0.3492962505466657,80.57314886430754,-0.16021285665495036,0,0,798.9371307177487,4380.0
30,E(v),72.98,35.855,2019,13.35,4325,0,other,0,15.9428898472273,100.24053419546884,15.9428898472273,-16.859528869648308,133.0223949573348,0.0,1,2,0.0,4581.0
31,O,73.064,35.92,2019,21.34,4303,0,other,0,22.034868121758844,23.13026869525954,22.034868121758844,-0.2190801147001394,98.90347148780181,-0.44217152646566743,0,0,1347.8932141196492,4306.0
32,E(o),73.155,35.906,2019,24.24,4328,0,other,0,23.85723477964339,21.747883773507183,23.85723477964339,0.4218702012272416,119.43536791329244,-0.15623650483974455,0,0,819.2707596172393,4335.0
33,E(o),73.073,35.871,2019,15.95,4617,0,other,0,13.829819741683549,10.408754046361564,13.829819741683549,0.6842131390643967,2.35584480872196,-0.5376572006999698,0,0,675.1513781037703,4420.0
34,E(o),73.228,35.829,2019,12.38,4195,0,other,0,21.770078584378663,12.960125358170757,21.770078584378663,1.7619906452415814,7.574018299713738,-0.16826463058177532,0,0,160.461529595658,4270.0
35,E(c),73.211,35.825,2019,26.44,4271,0,other,0,21.770078584378663,12.960125358170757,21.770078584378663,1.7619906452415814,7.574018299713738,-0.16826463058177532,0,0,160.461529595658,4270.0
36,E(o),73.216,35.73,2019,26.36,3970,0,other,0,23.472775801858887,21.643464825330533,23.472775801858887,0.3658621953056709,11.595799532110673,-0.2482122450568606,0,0,56.403341409658786,3976.0
37,E(o),73.313,35.987,2019,10.23,4583,0,other,0,9.153732238750056,8.935813526319729,9.153732238750056,0.0435837424860654,2.851505278860355,-0.16039347590586225,0,0,505.0080718217013,4616.0
38,E(o),73.397,35.962,2019,18.84,4349,0,other,0,17.51676543332589,15.04550798796337,17.51676543332589,0.4942514890725039,10.289242703842417,-0.2588655745532749,0,0,911.6700836226134,4341.0
39,E(o),73.289,35.949,2019,54.23,4228,0,other,0,29.806543229346257,12.575104114304589,29.806543229346257,3.446287823008334,3.868061584289554,-0.12024573926260192,0,0,1081.1193876574368,4232.0
40,E(c),73.365,35.945,2019,67.34,4162,0,other,0,62.376020352558875,48.99943302942045,62.376020352558875,2.6753174646276845,5.6260998017968475,-0.29570347608508984,0,0,392.2848711004687,4172.0
41,E(o),73.269,35.936,2019,11.45,4362,0,other,0,29.806543229346257,12.575104114304589,29.806543229346257,3.446287823008334,3.868061584289554,-0.12024573926260192,0,0,1081.1193876574368,4232.0
42,E(o),73.274,35.925,2019,11.46,4227,0,other,0,24.64522240655548,8.071607881236378,24.64522240655548,3.31472290506382,3.868061584289554,-0.12024573926260192,0,0,1081.1193876574368,4232.0
43,E(o),73.342,35.925,2019,11.69,4396,0,other,0,25.51843503104625,27.04871886742666,25.51843503104625,-0.3060567672760825,5.6260998017968475,-0.29570347608508984,0,0,392.2848711004687,4172.0
44,E(o),73.371,35.918,2019,12.25,4502,0,other,0,26.75444558160897,27.04871886742666,26.75444558160897,-0.0588546571635383,5.6260998017968475,-0.29570347608508984,0,0,392.2848711004687,4172.0
45,O,73.297,35.817,2019,15.36,2981,0,other,0,12.014804140820448,0.9466174278149742,12.014804140820448,2.213637342601095,19.4745632469144,-0.3785964799164313,0,0,2620.203970779039,2997.0
46,E(c),73.256,35.739,2019,18.92,4016,0,other,0,24.272109919633365,16.254261331811637,24.272109919633365,1.6035697175643455,2.9806591782222625,0.0,0,0,2.6284344058042883,4019.0
47,E(c),73.344,35.675,2019,25.12,3428,0,other,0,22.90533727896621,30.78785187998637,22.90533727896621,-1.5765029202040317,75.04700114407059,-0.5993706861957547,0,0,618.9825571129637,3439.0
48,E(o),73.357,35.652,2019,19.01,3735,0,other,0,20.066275745401665,23.857044361138872,20.066275745401665,-0.7581537231474413,23.101188293079627,-0.01882392957528003,0,0,796.8580598441202,3735.0
49,E(o),73.352,35.643,2019,13.95,3747,0,other,0,20.066275745401665,18.3880115826792,20.066275745401665,0.3356528325444927,23.101188293079627,-0.01882392957528003,0,0,796.8580598441202,3735.0
50,E(o),73.568,35.904,2019,18.03,4109,0,other,0,25.61119316771364,16.225320504939475,25.61119316771364,1.877174532554833,5.338380952780335,-0.5370348406532715,0,0,636.830190726503,4066.0
51,E(o),73.692,35.889,2019,11.02,3995,0,other,0,9.457587901666692,6.693064755333695,9.457587901666692,0.5529046292665998,24.38451757570283,-0.3332888921104439,0,0,1125.150009127019,4009.0
52,E(c),73.577,35.88,2019,30.86,4059,0,other,0,27.502987889168825,16.734649164909854,27.502987889168825,2.153667744851794,5.338380952780335,-0.5531341577561746,0,0,620.1027276843691,4065.0
53,E(o),73.615,35.877,2019,14.58,3993,0,other,0,12.005759662385076,8.513160842663794,12.005759662385076,0.6985197639442564,5.338380952780335,-0.10908283256052341,0,0,3676.1054932957445,3996.0
54,E(o),73.746,35.865,2019,84.31,4140,0,other,0,77.64921716591844,12.227221562867898,77.64921716591844,13.08439912061011,45.89056412603985,0.0,1,1,0.0,4143.0
55,E(o),73.507,35.783,2019,12.26,3918,0,other,0,9.834464666121267,7.430480716269785,9.834464666121267,0.4807967899702968,16.319525009471736,-0.2925576713070851,0,0,581.082011079991,3918.0
56,E(o),73.572,35.782,2019,22.07,4082,0,other,0,19.013569961023656,3.132540363607542,19.013569961023656,3.1762059194832224,2.968581536253464,-0.17786150324864242,0,0,1894.7326647120994,4088.0
57,E(c),73.911,35.972,2019,29.25,4426,0,other,0,24.127912715971284,8.430155214226577,24.127912715971284,3.139551500348942,3.8516424550594275,-0.2879460571366997,0,0,277.82981574920734,4422.0
58,E(o),73.985,35.939,2019,19.57,4258,0,other,0,14.759078623832654,11.850911489874315,14.759078623832654,0.5816334267916676,7.088926683484719,-0.11285768075322637,0,0,2055.6864047852373,4260.0
59,E(o),73.945,35.917,2019,12.08,4178,0,other,0,12.21960226318456,17.66923371535364,12.21960226318456,-1.0899262904338165,1.1564844404011105,-0.40878190232631323,0,0,880.6652103512823,4223.0
60,E(o),73.992,35.916,2019,11.42,4312,0,other,0,14.177463403953876,11.5601028986644,14.177463403953876,0.5234721010578955,7.088926683484719,-0.11285768075322637,0,0,2055.6864047852373,4260.0
61,E(o),73.922,35.906,2019,15.98,4223,0,other,0,12.21960226318456,19.99602789238831,12.21960226318456,-1.5552851258407496,1.1564844404011105,-0.40878190232631323,0,0,880.6652103512823,4223.0
62,E(o),73.763,35.882,2019,40.94,4104,0,other,0,77.64921716591844,10.476639508454918,77.64921716591844,13.434515531492703,45.89056412603985,0.0,1,1,0.0,4143.0
63,E(o),73.929,35.868,2019,17.55,4064,0,other,0,14.335745848381004,11.497713619330172,14.335745848381004,0.5676064458101664,1.1564844404011105,-0.12860181597039938,0,0,4222.33539940823,4056.0
64,E(o),73.869,35.858,2019,15.26,4211,0,other,0,15.794367384121724,5.458442176197934,15.794367384121724,2.067185041584758,,,False,0,,
65,E(o),73.775,35.856,2019,28.28,3962,0,other,0,49.85067359218971,12.227221562867898,49.85067359218971,7.524690405864362,45.89056412603985,0.0,1,1,0.0,4143.0
66,E(o),73.877,35.852,2019,19.43,4166,0,other,0,15.794367384121724,5.458442176197934,15.794367384121724,2.067185041584758,,,False,0,,
67,E(o),73.799,35.247,2019,17.06,3988,0,other,0,14.740554301992097,8.43363475571245,14.740554301992097,1.2613839092559291,13.517818006719143,-0.49891292536074766,0,0,158.34426406747767,4006.0
68,E(o),73.958,35.184,2019,10.49,4120,0,other,0,7.926489531512957,3.082468671428694,7.926489531512957,0.9688041720168528,,,False,0,,
69,E(o),73.985,34.83,2019,20.67,3873,0,other,0,17.838064118158318,14.226252889648638,17.838064118158318,0.722362245701936,14.856426869429121,-0.7990673471471013,0,0,652.0101238776917,3879.0
70,E(o),74.019,35.962,2019,15.37,4285,0,other,0,11.774730776863343,5.886780238294961,11.774730776863343,1.1775901077136763,7.088926683484719,-0.1519862537638241,0,0,1171.158546197207,4291.0
71,E(c),74.083,35.817,2019,16.71,4269,0,other,0,14.053647871305264,10.412819212204347,14.053647871305264,0.7281657318201831,,,False,0,,
72,E(o),74.205,35.779,2019,12.36,4304,0,other,0,9.543578964461677,8.378953370179389,9.543578964461677,0.2329251188564573,1.0383751237559071,-0.20370385363167212,0,0,73.63630943930156,4311.0
73,E(c),74.196,35.773,2019,11.01,4368,0,other,0,9.543578964461677,8.378953370179389,9.543578964461677,0.2329251188564573,1.0383751237559071,-0.20370385363167212,0,0,73.63630943930156,4311.0
74,E(o),74.243,35.707,2019,15.89,4318,0,other,0,11.232260352018434,6.635520380400172,11.232260352018434,0.9193479943236524,4.1707071156733,-0.06197693850402309,0,0,3420.6271738678815,4338.0
75,E(o),74.23,35.686,2019,14.12,4336,0,other,0,11.232260352018434,6.635520380400172,11.232260352018434,0.9193479943236524,4.1707071156733,-0.06197693850402309,0,0,3420.6271738678815,4338.0
76,E(c),74.177,35.073,2019,11.97,4042,0,other,0,9.333625414557147,6.173406090396112,9.333625414557147,0.6320438648322071,6.221755826889407,-0.6660432400338555,0,0,181.6698867686871,4045.0
77,E(c),74.294,35.821,2019,12.04,4313,0,other,0,9.902641785946615,10.632216661502529,9.902641785946615,-0.1459149751111819,1.9063224694749252,-0.198652512744616,0,0,624.2055450837015,4325.0
78,E(o),74.256,35.722,2019,10.77,4254,0,other,0,10.791842442476522,6.635520380400172,10.791842442476522,0.8312644124152699,4.1707071156733,-0.1802484579735312,0,0,1148.414817675706,4321.0
79,E(o),74.676,35.4,2019,13.97,3386,0,other,0,15.883974911713493,12.88285396379909,15.883974911713493,0.6002241895828806,1896.7119086951998,-0.2173658204508463,0,0,119.61402186448845,3391.0
80,E(o),74.941,35.332,2019,11.74,4427,0,other,0,50.70621853861169,72.23128092419917,50.70621853861169,-4.305012477117496,330.3850677715645,0.0,1,2,0.0,4503.0
81,M(l),74.786,35.33,2019,15.07,3475,0,moraine,0,13.846303578374384,11.06241319584718,13.846303578374384,0.5567780765054404,1071.2180927359418,0.0,1,1,0.0,3489.0
82,M(e),74.937,35.315,2019,20.13,4197,0,moraine,0,52.171746405718686,13.700054289106056,52.171746405718686,7.694338423322526,330.3850677715645,0.0,1,2,0.0,4503.0
83,E(o),74.961,35.082,2019,30.64,4317,0,other,0,22.6334416524137,16.68116202823034,22.6334416524137,1.1904559248366724,2.3886357644954073,-0.4014671973243572,0,0,525.5722046688833,4315.0
84,E(o),74.958,35.075,2019,10.45,4413,0,other,0,22.6334416524137,16.68116202823034,22.6334416524137,1.1904559248366724,2.3886357644954073,-0.4014671973243572,0,0,525.5722046688833,4315.0
85,E(o),74.1,34.962,2019,29.65,3603,0,other,0,23.844078743023783,22.813809295255375,23.844078743023783,0.2060538895536822,15.74005844566005,-0.37316021528318954,0,0,1717.7608269776242,3601.0
