,Unnamed: 0,GLOF,Latitude,Longitude,Year_final,area_t2,area_t1,expansion_ha_peryr,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m
0,0,1,42.522,74.609,1984,,,,536.1258049091829,0.0,1,1,0.0,3466.0
1,1,1,42.207,79.846,1984,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
2,2,1,35.677,77.193,1984,,,,9444.515664037286,-0.0038579849693398988,0,0,1036.8106749478602,4779.0
3,3,1,29.307,83.967,1985,,,,,,False,0,,
4,4,1,36.039,74.633,1985,,,,6998.712273472919,0.0,1,2,0.0,3301.0
5,5,1,41.975,76.867,1985,,,,38.45730522148446,-0.14436908350912186,0,0,768.8626768416559,3632.0
6,6,1,27.874,86.586,1985,,,,652.4807286503942,0.0,1,2,0.0,4368.0
7,7,1,42.207,79.846,1985,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
8,8,1,36.414,74.879,1986,,,,2339.676628642733,-0.31223125918865346,0,0,198.5707650192031,2501.0
9,9,1,27.586,88.027,1986,,,,29403.15464671952,0.0,1,1,0.0,4437.0
10,10,1,42.923,76.602,1986,,,,4.939867729628562,-0.3871555158193445,0,0,446.84885771000023,3423.0
11,11,1,42.207,79.846,1986,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
12,11,1,42.207,79.846,1986,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
13,12,1,35.677,77.193,1986,,,,9444.515664037286,-0.0038579849693398988,0,0,1036.8106749478602,4779.0
14,13,1,42.207,79.846,1986,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
15,13,1,42.207,79.846,1986,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
16,14,1,35.677,77.193,1987,,,,9444.515664037286,-0.0038579849693398988,0,0,1036.8106749478602,4779.0
17,15,1,42.207,79.846,1987,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
18,16,1,31.295,78.332,1988,,,,2174.177552325243,0.0,1,1,0.0,4589.0
19,17,1,42.522,74.609,1988,,,,536.1258049091829,0.0,1,1,0.0,3466.0
20,18,1,42.505,74.505,1988,,,,34.90153742729403,-0.7132936180341579,0,0,1375.3102161542433,3343.0
21,19,1,29.288,83.868,1988,,,,172.76507021451545,0.0,1,1,0.0,5372.0
22,20,1,38.632,72.146,1988,,,,2338.3797655652165,0.05603288529304519,0,0,642.4798546732757,2992.0
23,21,1,42.537,74.431,1988,,,,15.213456542195205,-0.21958834807581923,0,0,318.77829863645803,3581.0
24,22,1,42.923,76.602,1988,,,,4.939867729628562,-0.3871555158193445,0,0,446.84885771000023,3423.0
25,23,1,29.466,96.501,1988,39.48224785238666,,,8463.2036070988,0.0,1,1,0.0,3847.0
26,24,1,29.554,92.785,1988,1.2496670301064876,,,12.903958847574634,-0.1920419538237181,0,0,1635.059390659144,5042.0
27,25,1,42.207,79.846,1988,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
28,26,1,42.207,79.846,1989,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
29,26,1,42.207,79.846,1989,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
30,27,1,42.207,79.846,1989,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
31,27,1,42.207,79.846,1989,,,,396.1181564714431,-0.09858711683460882,0,0,446.30577922077833,3269.0
32,28,1,36.75,74.01,1990,112.86324856398473,,,3024.0856081336437,0.0,1,1,0.0,3787.0
