ID,Major_RGI_Region,Mountain_range_Region,Country,Glacier,RGI_Glacier_Id,RGI_Glacier_Area,Lake,Lake_type,Longitude,Latitude,River,Date,Date_Min,Date_Max,Mechanism,Mean_Lake_Volume_VL,Min_VL,Max_VL,VL_calculation,Mean_Flood_Volume_V0,Min_V0,Max_V0,V0_calculation,Peak_discharge_Qp,Min_Qp,Max_Qp,Qp_calculation,Impact_and_destruction,reported_impacts,economic_losses,D_buildings,D_bridges,D_roads_paths,D_railroads,D_utilities,D_flood_protection,D_environmental,resettlement,reported_fatalities,Further_comments,First_reference_found,Reference,Reference_comments,Lake_area_before,Perimeter_before,Image_date_before,Satellite_before,Scenename_before,Certainty_level_before,Lake_area_after,Perimeter_after,Image_date_after,Satellite_after,Scenename_after,Certainty_level_after,Lake_area_comments,,,,,,,,,,,,,,,,,,,,
running number (regionally),RGI region in which the GLOF occurred,Major mountain unit/range in which the GLOF was located,Source location of the GLOF,Name of the glacier that feeds the burst glacier lake,Glacier Id derived from RGI polygon,Glacier area derived from RGI polygon,Name of the outburst source lake,Material of the impounding dam,X coordinate,Y coordinate,Major river basin that captured GLOF discharge,Reported date of GLOF,Earliest possible date ,Latest possible date ,Mechanism that causes the dam to fail, Volume before outburst,Minimum reported lake volume ,Maximum reported lake volume,Method to obtain lake volumes before outburst,Total volume released during outburst,Minimum reported flood volume,Maximum reported flood volume,Method to obtain V0,Maximum discharge during outburst,Minimum reported peak discharge ,Maximum reported peak discharge ,Method to obtain Qp,Quantitative and qualitative descriptions of societal impacts from GLOFs,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Need for resettlement after the flood,Fatalities in consequence of the flood,Any other useful information,Year of first reference that cited the GLOF,References viewed to gather information,Comments on the reference,Lake area before outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,…)",lake area after outburst,Lake perimeter before outburst,Date of satellite image used for mapping,Satellite from which the image was derived,Scenename,"1 – unsure (clouds, shadows,...)",Mapping notes and comments,,,,,,,,,,,,,,,,,,,,
,,e.g. Karakoram,e.g. Pakistan ,e.g. Baltoro Glacier,,km2,e.g. Baltoro Lake 1,"e.g ice, moraine, water pocket, bedrock, combined",XX.XX°,XX.XX°,e.g. Indus,YYYY-MM-DD,YYYY-MM-DD,YYYY-MM-DD,"(e.g. overtopping, breach, tunnelling,  englacial,…)",106 m³,106 m³,106 m³,e.g. bathymetry,106 m³,106 m³,106 m³,gaged / estmated / unknown,m³ s-1,m³ s-1,m³ s-1,gaged / estmated / unknown,,,,,,,,(e.g. water or electricity supply),(e.g. levees),(e.g. fish population),,,,,,,m² ,m,YYYY-MM_DD,,,2 – sure,m²,m,YYYY-MM_DD,,,2 – sure,,,,,,,,,,,,,,,,,,,,,
1,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02480,RGI60-16.02480,4.52,Rajururi,moraine,-77.68,-9.06,,1725-01-06,,,breach,,,,,,,,,,,,,,,,,,,,,,,,,earthquake triggered,1942,"Broggi, J. A. (1942). Informe preliminar sobre la exploracion y estudio de las condiciones de estabilidad de las lagunas de la Cordillera Blanca. ELECTROPERU SA, Lima (Peru). & Lliboutry, L., Arnao, B. M., Pautre, A., & Schneider, B. (1977). Glaciological problems set by the control of dangerous lakes in Cordillera Blanca, Peru. I. Historical failures of morainic dams, their causes and prevention. Journal of Glaciology, 18(79), 239-254. & O'Connor, J. E., Hardison, J. H., & Costa, J. E. (2001). Debris flows from failures of Neoglacial-age moraine dams in the Three Sisters and Mount Jefferson Wilderness areas, Oregon (No. 1606). US Department of the Interior, US Geological Survey. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,10.92,,ice,-69.98,-33.12,Plomo,1788-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,"Prieto, M. del R. (1986). The glacier dam on the Rio Plomo: a cyclic phenomenon?. Zeitschrift für Gletscherkunde und Glazialgeologie, 22(1), 73-78. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Southern Andes,C Andes,Chile,Gl. Cachapoal,RGI60-17.13403,19.19,,ice,-70.08,-34.37,,1847-12-31,,,,,,,,1.75,1.50,2.00,unknown,150.00,,,unknown,An undetermined number of fatalities and damages in infrastructure and farm settlements were reported. The most damaged village was El Olivar,x,x,,,,,,,,,x,,1887,"Plagemann, A. (1887). Das andine Stromgebiet des Cachapoal. Petermanns Geogr. Mitteilungen. Heft III, Gotha, 65-82. & Urrutia, R., & Lanza, L. (1993). Catástrofes en Chile 1541-1992. In Catástrofes en Chile 1541-1992. La Noria. & Peña, H., Klohn, W. (1989). Non-meteorological flood disasters in Chile. In Hydrology of Disasters, Starosolszky O, Melder OM (eds). James & James: London; 243–258. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,1881,,,subglacial,,,,,265.00,265.00,,estimated – lichenometry,,,,,,,,,,,,,,,,,,2000,"Winchester, V., & Harrison, S. (2000). Dendrochronology and lichenometry: colonization, growth rates and dating of geomorphological events on the east side of the North Patagonian Icefield, Chile. Geomorphology, 34(3-4), 181-194.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02264,RGI60-16.02264,8.36,Rajucolta,moraine,-77.34,-9.52,,1883-06-24,,,breach,,,,,,,,,,,,,,,,,,,,,,,,,partial drainage,1966,"Morales, B. (1966). Estudio de las lagunas Rajucolta y Cashan. Corporación Peruana del Santa, división de geología y seguridad de lagunas, Lima. & Zapata L, M. (2002). La dinamica glaciar en lagunas de la Cordillera Blanca. Acta Montana, 123, 37-60. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,287.96,Lago Arco,ice,-73.26,-47.29,Río Baker,,1896,1897,subglacial,,,,,,,,,,,,,,,,,,,,,,,,,,2000,"Winchester, V., & Harrison, S. (2000). Dendrochronology and lichenometry: colonization, growth rates and dating of geomorphological events on the east side of the North Patagonian Icefield, Chile. Geomorphology, 34(3-4), 181-194.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,10.92,,ice,-69.98,-33.12,Plomo,1900,,,,,,,,,,,,2000.00,,,estimated,,,,,,,,,,,,,,1985,"Prieto, M. (1985). Un Fenomeno Ciclico? Hubo otros Endicamientos en el Rio dei
Plomo? Diario Los Andes, Mendoza, Argentina. CITED IN Fernández, P. C., Fornero, L., Maza, J., & Yañez, H. (1991). Simulation of flood waves from outburst of glacier-dammed lake. Journal of Hydraulic Engineering, 117(1), 42-53.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Southern Andes,Patagonia,Argentina,Glaciar Piedras Blancas,RGI60-17.05091,6.07,,moraine,-72.97,-49.26,Río Blanco,1913-12-16,,,,,,,,,,,,,,,,"Event occurred far from populated areas, no damage reported",,,,,,,,,,,,,1956,"Lliboutry, L. (1956). Nieves y glaciares: fundamentos de glaciología. Ediciones Universidad de Chile. Santiago. 471p. & Masiokas, M. H., Rivera, A., Espizua, L. E., Villalba, R., Delgado, S., & Aravena, J. C. (2009). Glacier fluctuations in extratropical South America during the past 1000 years. Palaeogeography, Palaeoclimatology, Palaeoecology, 281(3-4), 242-268. CITED IN Iribarren Anacona, P., Mackintosh, A., & Norton, K. P. (2015). Hazardous processes and events from glacier and permafrost areas: lessons from the Chilean and Argentinean Andes. Earth Surface Processes and Landforms, 40(1), 2-21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
