,Unnamed: 0,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr
0,0,M(e),72.901,36.412,2019,11.23,4256,0,moraine,0,19.373350748583807,14.746083962810548,19.373350748583807,0.9254533571546517
1,1,O,73.048,36.263,2019,21.68,4618,0,other,0,18.463382819678113,29.25684795440522,18.463382819678113,-2.1586930269454214
2,2,M(e),73.407,36.642,2019,14.06,2748,0,moraine,0,14.050228274571769,36.03779669667752,14.050228274571767,-4.397513684421151
3,3,E(o),73.384,36.131,2019,23.35,4503,0,other,0,8.558557764148397,7.9792076342610905,8.558557764148397,0.11587002597746121
4,4,E(o),73.423,36.116,2019,21.76,4437,0,other,0,11.896604650219809,18.498022886757145,11.896604650219809,-1.3202836473074673
5,5,E(o),73.449,36.112,2019,11.22,4427,0,other,0,16.831355285899498,18.498022886757145,16.831355285899498,-0.33333352017152934
6,6,E(o),73.465,36.108,2019,21.58,4488,0,other,0,16.831355285899498,12.98624495750675,16.831355285899498,0.7690220656785496
7,7,E(o),73.461,36.086,2019,13.98,4577,0,other,0,16.831355285899498,12.98624495750675,16.831355285899498,0.7690220656785496
8,8,E(o),73.328,36.024,2019,10.65,4559,0,other,0,8.715218181925852,7.553186529071671,8.715218181925852,0.23240633057083623
9,9,E(o),73.312,36.0,2019,13.08,4615,0,other,0,9.153732238750056,8.935813526319729,9.153732238750056,0.04358374248606545
10,10,O,73.704,36.879,2019,262.57,4286,0,other,0,248.891886974619,205.21910802686943,248.891886974619,8.734555789549916
11,11,O,73.646,36.644,2019,105.07,3821,0,other,0,101.3034587265208,103.32097710193794,101.3034587265208,-0.403503675083428
12,12,E(o),73.566,36.431,2019,12.25,4030,0,other,0,12.065646345248984,14.884753573643232,12.065646345248984,-0.5638214456788496
13,13,E(o),73.514,36.351,2019,17.25,4420,0,other,0,5.42500997052554,14.754179672149842,5.42500997052554,-1.8658339403248605
14,14,E(o),73.616,36.154,2019,13.83,4545,0,other,0,15.953243155629265,11.166036527337974,15.953243155629263,0.9574413256582577
15,15,E(o),73.639,36.145,2019,17.96,4484,0,other,0,15.953243155629265,11.166036527337974,15.953243155629263,0.9574413256582577
16,16,E(o),73.505,36.129,2019,23.11,4482,0,other,0,19.510618594329955,12.26002681814094,19.510618594329955,1.450118355237803
17,17,E(c),73.668,36.096,2019,10.48,4423,0,other,0,25.47385418660844,24.67552594382385,25.473854186608442,0.15966564855691842
18,18,O,73.646,36.08,2019,28.87,4344,0,other,0,25.69158243489396,24.748103270552967,25.69158243489396,0.18869583286819847
19,19,E(o),73.592,36.039,2019,18.87,4274,0,other,0,16.192760693050722,14.014351239565393,16.192760693050722,0.4356818906970659
20,20,E(o),73.714,36.03,2019,10.47,4320,0,other,0,10.530045887913085,9.513351237811062,10.530045887913085,0.20333893002040462
21,21,E(o),73.558,36.011,2019,24.48,4232,0,other,0,19.903051598783588,16.12167915018194,19.903051598783588,0.7562744897203295
22,22,O,73.955,36.265,2019,27.89,3706,0,other,0,28.81691921198553,27.079224804923307,28.81691921198553,0.34753888141244504
23,23,E(o),74.084,36.239,2019,20.57,3453,0,other,0,14.847648677941113,12.097097776617538,14.847648677941113,0.5501101802647149
24,24,I(s),75.136,36.137,2019,24.88,3697,0,ice,1,2.0312970770547794,3.5538739613156234,2.0312970770547794,-0.3045153768521688
25,25,I(s),75.14,36.126,2019,12.99,3725,0,ice,1,28.14938770962367,11.75271501962403,28.149387709623674,3.2793345379999286
26,26,E(o),75.686,36.44,2019,28.09,4709,0,other,0,24.417787992652062,23.62312076707244,24.417787992652066,0.1589334451159253
27,27,O,72.613,35.994,2019,201.58,3622,0,other,0,201.97836879537732,197.6195072809349,201.97836879537732,0.8717723028884847
28,28,O,72.595,35.944,2019,96.35,3761,0,other,0,101.41653825411638,96.25448117672103,101.41653825411638,1.0324114154790691
29,29,E(o),72.94,35.869,2019,20.01,4378,0,other,0,19.211140492718854,17.464659239985526,19.211140492718854,0.34929625054666574
30,30,E(v),72.98,35.855,2019,13.35,4325,0,other,0,15.9428898472273,100.24053419546883,15.942889847227299,-16.859528869648308
31,31,O,73.064,35.92,2019,21.34,4303,0,other,0,22.034868121758844,23.13026869525954,22.034868121758844,-0.21908011470013947
32,32,E(o),73.155,35.906,2019,24.24,4328,0,other,0,23.85723477964339,21.747883773507183,23.85723477964339,0.4218702012272416
33,33,E(o),73.073,35.871,2019,15.95,4617,0,other,0,13.829819741683549,10.408754046361565,13.829819741683549,0.6842131390643967
34,34,E(o),73.228,35.829,2019,12.38,4195,0,other,0,21.770078584378663,12.960125358170755,21.770078584378663,1.7619906452415814
35,35,E(c),73.211,35.825,2019,26.44,4271,0,other,0,21.770078584378663,12.960125358170755,21.770078584378663,1.7619906452415814
36,36,E(o),73.216,35.73,2019,26.36,3970,0,other,0,23.472775801858887,21.643464825330533,23.472775801858887,0.36586219530567093
37,37,E(o),73.313,35.987,2019,10.23,4583,0,other,0,9.153732238750056,8.935813526319729,9.153732238750056,0.04358374248606545
38,38,E(o),73.397,35.962,2019,18.84,4349,0,other,0,17.51676543332589,15.04550798796337,17.51676543332589,0.49425148907250394
39,39,E(o),73.289,35.949,2019,54.23,4228,0,other,0,29.806543229346257,12.575104114304589,29.806543229346257,3.4462878230083334
40,40,E(c),73.365,35.945,2019,67.34,4162,0,other,0,62.376020352558875,48.99943302942045,62.376020352558875,2.6753174646276845
41,41,E(o),73.269,35.936,2019,11.45,4362,0,other,0,29.806543229346257,12.575104114304589,29.806543229346257,3.4462878230083334
42,42,E(o),73.274,35.925,2019,11.46,4227,0,other,0,24.64522240655548,8.071607881236378,24.64522240655548,3.31472290506382
43,43,E(o),73.342,35.925,2019,11.69,4396,0,other,0,25.51843503104625,27.04871886742666,25.51843503104625,-0.30605676727608255
44,44,E(o),73.371,35.918,2019,12.25,4502,0,other,0,26.75444558160897,27.04871886742666,26.75444558160897,-0.05885465716353835
