,Lake_type,Longitude,Latitude,Year_final,Lake_area_ha,Elevation_m,GLOF,Lake_type_simplified,is_supraglacial,Lake_area_calculated_ha,area_t1,area_t2,expansion_ha_peryr
0,M(e),72.901,36.412,2019,11.23,4256,0,moraine,0,19.373350748583807,124.05072182558067,19.373350748583807,-20.935474215399374
1,O,73.048,36.263,2019,21.68,4618,0,other,0,18.463382819678113,18.535789816587844,18.463382819678113,-0.014481399381946147
2,M(e),73.407,36.642,2019,14.06,2748,0,moraine,0,14.050228274571767,11.960688951943926,14.050228274571767,0.4179078645255682
3,E(o),73.384,36.131,2019,23.35,4503,0,other,0,8.558557764148397,9.13879599136923,8.558557764148397,-0.11604764544416675
4,E(o),73.423,36.116,2019,21.76,4437,0,other,0,11.896604650219809,14.653178506597065,11.896604650219809,-0.5513147712754514
5,E(o),73.449,36.112,2019,11.22,4427,0,other,0,16.831355285899498,16.83136077768791,16.831355285899498,-1.0983576821388397e-06
6,E(o),73.465,36.108,2019,21.58,4488,0,other,0,16.831355285899498,16.83136077768791,16.831355285899498,-1.0983576821388397e-06
7,E(o),73.461,36.086,2019,13.98,4577,0,other,0,16.831355285899498,16.83136077768791,16.831355285899498,-1.0983576821388397e-06
8,E(o),73.328,36.024,2019,10.65,4559,0,other,0,8.715218181925852,8.42470623329857,8.715218181925852,0.05810238972545641
9,E(o),73.312,36.0,2019,13.08,4615,0,other,0,9.153732238750056,11.042634908998904,9.153732238750056,-0.37778053404976963
10,O,73.704,36.879,2019,262.57,4286,0,other,0,248.891886974619,249.82576693870146,248.891886974619,-0.1867759928164901
11,O,73.646,36.644,2019,105.07,3821,0,other,0,101.3034587265208,105.55459236584062,101.3034587265208,-0.8502267278639636
12,E(o),73.566,36.431,2019,12.25,4030,0,other,0,12.065646345248984,12.786032334563881,12.065646345248984,-0.1440771978629794
13,E(o),73.514,36.351,2019,17.25,4420,0,other,0,5.42500997052554,15.549752638981575,5.42500997052554,-2.024948533691207
14,E(o),73.616,36.154,2019,13.83,4545,0,other,0,15.953243155629263,16.243299264386255,15.953243155629263,-0.05801122175139852
15,E(o),73.639,36.145,2019,17.96,4484,0,other,0,15.953243155629263,16.243299264386255,15.953243155629263,-0.05801122175139852
16,E(o),73.505,36.129,2019,23.11,4482,0,other,0,19.510618594329955,18.060054140464352,19.510618594329955,0.2901128907731206
17,E(c),73.668,36.096,2019,10.48,4423,0,other,0,25.473854186608442,25.691571481079013,25.473854186608442,-0.04354345889411419
18,O,73.646,36.08,2019,28.87,4344,0,other,0,25.69158243489396,25.83672621577298,25.69158243489396,-0.029028756175804204
19,E(o),73.592,36.039,2019,18.87,4274,0,other,0,16.192760693050722,16.19275521665131,16.192760693050722,1.0952798824348519e-06
20,E(o),73.714,36.03,2019,10.47,4320,0,other,0,10.530045887913085,9.368111313555277,10.530045887913085,0.2323869148715616
21,E(o),73.558,36.011,2019,24.48,4232,0,other,0,19.903051598783588,20.62946394335345,19.903051598783588,-0.14528246891397245
22,O,73.955,36.265,2019,27.89,3706,0,other,0,28.81691921198553,28.45490169747095,28.81691921198553,0.07240350290291601
23,E(o),74.084,36.239,2019,20.57,3453,0,other,0,14.847648677941113,18.324227786772052,14.847648677941113,-0.695315821766188
24,I(s),75.136,36.137,2019,24.88,3697,0,ice,1,2.0312970770547794,17.985474628316787,2.0312970770547794,-3.1908355102524015
25,I(s),75.14,36.126,2019,12.99,3725,0,ice,1,28.149387709623674,122.32394356707732,28.149387709623674,-18.834911171490727
26,E(o),75.686,36.44,2019,28.09,4709,0,other,0,24.417787992652066,24.56227266966325,24.417787992652066,-0.028896935402237034
27,O,72.613,35.994,2019,201.58,3622,0,other,0,201.97836879537732,167.68586249308333,201.97836879537732,6.858501260458797
28,O,72.595,35.944,2019,96.35,3761,0,other,0,101.41653825411638,98.94458273900932,101.41653825411638,0.49439110302141104
29,E(o),72.94,35.869,2019,20.01,4378,0,other,0,19.211140492718854,19.065603756084794,19.211140492718854,0.029107347326812062
30,E(v),72.98,35.855,2019,13.35,4325,0,other,0,15.942889847227299,22.13069114734251,15.942889847227299,-1.2375602600230422
31,O,73.064,35.92,2019,21.34,4303,0,other,0,22.034868121758844,21.96214167735485,22.034868121758844,0.01454528888079878
32,E(o),73.155,35.906,2019,24.24,4328,0,other,0,23.85723477964339,23.12987694131727,23.85723477964339,0.1454715676652242
33,E(o),73.073,35.871,2019,15.95,4617,0,other,0,13.829819741683549,13.611449656582897,13.829819741683549,0.04367401702013041
34,E(o),73.228,35.829,2019,12.38,4195,0,other,0,21.770078584378663,20.896356237716766,21.770078584378663,0.17474446933237928
35,E(c),73.211,35.825,2019,26.44,4271,0,other,0,21.770078584378663,20.896356237716766,21.770078584378663,0.17474446933237928
36,E(o),73.216,35.73,2019,26.36,3970,0,other,0,23.472775801858887,23.4727691848789,23.472775801858887,1.3233959975877952e-06
37,E(o),73.313,35.987,2019,10.23,4583,0,other,0,9.153732238750056,11.042634908998904,9.153732238750056,-0.37778053404976963
38,E(o),73.397,35.962,2019,18.84,4349,0,other,0,17.51676543332589,17.007972908440966,17.51676543332589,0.10175850497698491
39,E(o),73.289,35.949,2019,54.23,4228,0,other,0,29.806543229346257,30.170064629674812,29.806543229346257,-0.07270428006571095
40,E(c),73.365,35.945,2019,67.34,4162,0,other,0,62.376020352558875,62.73950755160424,62.376020352558875,-0.07269743980907321
41,E(o),73.269,35.936,2019,11.45,4362,0,other,0,29.806543229346257,30.170064629674812,29.806543229346257,-0.07270428006571095
42,E(o),73.274,35.925,2019,11.46,4227,0,other,0,24.64522240655548,25.081440508440608,24.64522240655548,-0.08724362037702563
43,E(o),73.342,35.925,2019,11.69,4396,0,other,0,25.51843503104625,25.51843852052031,25.51843503104625,-6.978948121627582e-07
44,E(o),73.371,35.918,2019,12.25,4502,0,other,0,26.75444558160897,26.681751138156788,26.75444558160897,0.01453888869043638
45,O,73.297,35.817,2019,15.36,2981,0,other,0,12.014804140820448,12.451713694956219,12.014804140820448,-0.08738191082715403
46,E(c),73.256,35.739,2019,18.92,4016,0,other,0,24.272109919633365,24.345000140853617,24.272109919633365,-0.014578044244050403
47,E(c),73.344,35.675,2019,25.12,3428,0,other,0,22.90533727896621,21.95701074377065,22.90533727896621,0.18966530703911247
48,E(o),73.357,35.652,2019,19.01,3735,0,other,0,20.066275745401665,19.48253568255639,20.066275745401665,0.11674801256905525
49,E(o),73.352,35.643,2019,13.95,3747,0,other,0,20.066275745401665,19.48253568255639,20.066275745401665,0.11674801256905525
50,E(o),73.568,35.904,2019,18.03,4109,0,other,0,25.61119316771364,25.68394689004726,25.61119316771364,-0.014550744466723841
51,E(o),73.692,35.889,2019,11.02,3995,0,other,0,9.457587901666693,9.530339516287173,9.457587901666693,-0.014550322924095837
52,E(c),73.577,35.88,2019,30.86,4059,0,other,0,27.502987889168825,27.721267575264584,27.502987889168825,-0.04365593721915175
53,E(o),73.615,35.877,2019,14.58,3993,0,other,0,12.005759662385076,11.932997313669016,12.005759662385076,0.014552469743211916
54,E(o),73.746,35.865,2019,84.31,4140,0,other,0,77.64921716591844,77.7947720552886,77.64921716591844,-0.029110977874032072
55,E(o),73.507,35.783,2019,12.26,3918,0,other,0,9.834464666121269,9.980162188690127,9.834464666121269,-0.029139504513771543
56,E(o),73.572,35.782,2019,22.07,4082,0,other,0,19.013569961023656,19.232142105212738,19.013569961023656,-0.0437144288378164
