10y_expansion_rate,5y_expansion_rate,Elevation_m,GLOF,Lake_area_calculated_ha,Lake_type_simplified,Latitude,Longitude,Year_final,__source__,glacier_area_ha,glacier_contact,glacier_elev_m,glacier_touch_count,is_supraglacial,lake_area_filled_from_db,nearest_glacier_dist_m,slope_glac_to_lake
,,3466,1,,other,42.522,74.609,1984,pos,536.1258049091829,1,3985.0,2,0,False,0.0,0.0
,,3269,1,,ice,42.207,79.846,1984,pos,396.1181564714431,0,4590.0,0,0,False,446.30577922077833,2.95985412132996
,,4779,1,,ice,35.677,77.193,1984,pos,9444.515664037286,0,5524.0,0,0,False,1036.8106749478602,0.7185497005395561
,,4594,1,,other,29.307,83.967,1985,pos,,0,,0,0,False,,
,,3301,1,,other,36.039,74.633,1985,pos,6998.712273472919,1,4575.0,3,0,False,0.0,0.0
,,3627,1,,moraine,41.975,76.867,1985,pos,38.45730522148446,0,3949.0,0,0,False,768.8626768416559,0.418800404413849
,,4368,1,,moraine,27.874,86.586,1985,pos,652.4807286503942,1,4977.0,2,0,False,0.0,0.0
,,3269,1,,ice,42.207,79.846,1985,pos,396.1181564714431,0,4590.0,0,0,False,446.30577922077833,2.95985412132996
,,2501,1,,other,36.414,74.879,1986,pos,2339.676628642733,0,4483.0,0,0,False,198.5707650192031,9.98132831793405
,,4437,1,,other,27.586,88.027,1986,pos,29403.15464671952,1,5350.0,4,0,False,0.0,0.0
,,3423,1,,moraine,42.923,76.602,1986,pos,4.939867729628562,0,3757.0,0,0,False,446.84885771000023,0.7474563137783876
,,3269,1,,ice,42.207,79.846,1986,pos,396.1181564714431,0,4590.0,0,0,False,446.30577922077833,2.95985412132996
,,4779,1,,ice,35.677,77.193,1986,pos,9444.515664037286,0,5524.0,0,0,False,1036.8106749478602,0.7185497005395561
,,3269,1,,ice,42.207,79.846,1986,pos,396.1181564714431,0,4590.0,0,0,False,446.30577922077833,2.95985412132996
,,4779,1,,ice,35.677,77.193,1987,pos,9444.515664037286,0,5524.0,0,0,False,1036.8106749478602,0.7185497005395561
,,3269,1,,ice,42.207,79.846,1987,pos,396.1181564714431,0,4590.0,0,0,False,446.30577922077833,2.95985412132996
,,4589,1,,other,31.295,78.332,1988,pos,2174.177552325243,1,4813.0,5,0,False,0.0,0.0
