Longitude,Latitude,Year_final,Lake_area_calculated_ha,Elevation_m,Lake_type_simplified,is_supraglacial,glacier_area_ha,slope_glac_to_lake,glacier_contact,glacier_touch_count,nearest_glacier_dist_m,glacier_elev_m,5y_expansion_rate,10y_expansion_rate,GLOF
74.609,42.522,1984,,3466,other,0,536.1258049091829,0.0,1,2,0.0,3985.0,,,1
79.846,42.207,1984,,3269,ice,0,396.1181564714431,2.95985412132996,0,0,446.30577922077833,4590.0,,,1
77.193,35.677,1984,,4779,ice,0,9444.515664037286,0.7185497005395561,0,0,1036.8106749478602,5524.0,,,1
83.967,29.307,1985,,4594,other,0,,,0,0,,,,,1
74.633,36.039,1985,,3301,other,0,6998.712273472919,0.0,1,3,0.0,4575.0,,,1
76.867,41.975,1985,,3627,moraine,0,38.45730522148446,0.418800404413849,0,0,768.8626768416559,3949.0,,,1
86.586,27.874,1985,,4368,moraine,0,652.4807286503942,0.0,1,2,0.0,4977.0,,,1
79.846,42.207,1985,,3269,ice,0,396.1181564714431,2.95985412132996,0,0,446.30577922077833,4590.0,,,1
74.879,36.414,1986,,2501,other,0,2339.676628642733,9.98132831793405,0,0,198.5707650192031,4483.0,,,1
88.027,27.586,1986,,4437,other,0,29403.15464671952,0.0,1,4,0.0,5350.0,,,1
76.602,42.923,1986,,3423,moraine,0,4.939867729628562,0.7474563137783876,0,0,446.84885771000023,3757.0,,,1
79.846,42.207,1986,,3269,ice,0,396.1181564714431,2.95985412132996,0,0,446.30577922077833,4590.0,,,1
77.193,35.677,1986,,4779,ice,0,9444.515664037286,0.7185497005395561,0,0,1036.8106749478602,5524.0,,,1
79.846,42.207,1986,,3269,ice,0,396.1181564714431,2.95985412132996,0,0,446.30577922077833,4590.0,,,1
77.193,35.677,1987,,4779,ice,0,9444.515664037286,0.7185497005395561,0,0,1036.8106749478602,5524.0,,,1
79.846,42.207,1987,,3269,ice,0,396.1181564714431,2.95985412132996,0,0,446.30577922077833,4590.0,,,1
78.332,31.295,1988,,4589,other,0,2174.177552325243,0.0,1,5,0.0,4813.0,,,1
